Title,Yield,Ingredients,Steps,URL,Tags,,,,,,,,,,
Dump Cakes,24 servings (each cake serves 12),"[{'main': ['One 21 ounce can cherry pie filling', 'One 15 ounce can crushed pineapple', '1 box white cake mix', '1 1/2 sticks butter']}, {'main': ['1 large can peaches in syrup', '1 box white cake mix', '1 1/2 sticks butter', 'Whipped cream for serving']}]","[' Preheat the oven to 350 degrees F. For the cherry pineapple dump cake Dump the cherry pie filling and crushed pineapple into a 9 by 13 inch baking dish.', 'Stir together.', 'Sprinkle the cake mix over the top of the fruit.', 'Slice the butter into tablespoons and distribute evenly over the surface of the cake mix.', 'For the peach dump cake Dump the peaches into a 9 by 13 inch baking dish.', 'Sprinkle the cake mix over the top of the fruit.', 'Slice the butter into tablespoons and distribute evenly over the surface of the cake mix.', 'Bake until the tops are brown and bubbly 45 minutes to 1 hour.', 'Serve with whipped cream.']",https://www.foodnetwork.com/recipes/ree-drummond/dump-cakes-2576003,"['Baking', 'Dessert', 'Cake', 'Cherry', 'Fruit', 'Pineapples', 'Peach Recipes']",,,,,,,,,,
Lemon Cake,2 (8-inch) loaves,"[{'frosting': ['2 cups confectioners sugar sifted', '3 1/2 tablespoons freshly squeezed lemon juice']}, {'main': ['1 teaspoon pure vanilla extract', '3/4 cup buttermilk at room temperature', '3/4 cup freshly squeezed lemon juice divided', '1 teaspoon kosher salt', '1/2 teaspoon baking soda', '1/2 teaspoon baking powder', '3 cups flour', '1/3 cup grated lemon zest', '4 extra large eggs at room temperature', '2 1/2 cups granulated sugar divided', '1/2 pound unsalted butter at room temperature', 'Deselect All']}]","[' Preheat the oven to 350 degrees F. Grease and flour 2  loaf pans.', 'You may also line the bottom with parchment paper if desired.', 'Cream the butter and 2 cups granulated sugar in the bowl of an electric mixer fitted with the paddle attachment until light and fluffy about 5 minutes.', 'With the mixer on medium speed add the eggs 1 at a time and the lemon zest.', 'Sift together the flour baking powder baking soda and salt in a bowl.', 'In another bowl combine 1/4 cup lemon juice the buttermilk and vanilla.', 'Add the flour and buttermilk mixtures alternately to the batter beginning and ending with the flour.', 'Divide the batter evenly between the pans smooth the tops and bake for 45 minutes to 1 hour until a cake tester comes out clean.', 'Combine 1/2 cup granulated sugar with 1/2 cup lemon juice in a small saucepan and cook over low heat until the sugar dissolves.', 'When the cakes are done allow to cool for 10 minutes.', 'Remove the cakes from the pans and set them on a rack set over a tray or sheet pan spoon the lemon syrup over them.', 'Allow the cakes to cool completely.', 'For the glaze combine the confectioners sugar and the lemon juice in a bowl mixing with a wire whisk until smooth.', 'Pour over the tops of the cakes and allow the glaze to drizzle down the sides.']",https://www.foodnetwork.com/recipes/ina-garten/lemon-cake-recipe-1913110,"['Baking', 'Dessert', 'Healthy', 'Mixer Recipes', 'Cake', 'Fruit', 'Lemon', 'Low Sodium', 'Recipes for a Crowd']",,,,,,,,,,
Coconut Cake,10 to 12 servings,"[{'frosting': ['1 pound cream cheese at room temperature', '1/2 pound unsalted butter at room temperature', '3/4 teaspoon pure vanilla extract', '1/4 teaspoon pure almond extract', '1 pound confectioners sugar sifted', '6 ounces sweetened shredded coconut']}, {'main': ['4 ounces sweetened shredded coconut', '1 cup milk', '1/2 teaspoon kosher salt', '1/2 teaspoon baking soda', '1 teaspoon baking powder', '3 cups all purpose flour plus more for dusting the pans', '1 1/2 teaspoons pure almond extract', '1 1/2 teaspoons pure vanilla extract', '5 extra large eggs at room temperature', '2 cups sugar', '3/4 pound unsalted butter at room temperature plus more for greasing the pans', 'Deselect All']}]","[' Preheat the oven to 350 degrees F. Grease 2  round cake pans then line them parchment paper.', 'Grease them again and dust lightly with flour.', 'In the bowl of an electric mixer fitted with a paddle attachment cream the butter and sugar on medium high speed for 3 to 5 minutes until light yellow and fluffy.', 'Crack the eggs into a small bowl.', 'With the mixer on medium speed add the eggs 1 at a time scraping down the bowl once during mixing.', 'Add the vanilla and almond extracts and mix well.', 'The mixture might look curdled don t be concerned.', 'In a separate bowl sift together the flour baking powder baking soda and salt.', 'With the mixer on low speed alternately add the dry ingredients and the milk to the batter in 3 parts beginning and ending with dry ingredients.', 'Mix until just combined.', 'Fold in the 4 ounces of coconut with a rubber spatula.', 'Pour the batter evenly into the 2 pans and smooth the top with a knife.', 'Bake in the center of the oven for 45 to 55 minutes until the tops are browned and a cake tester comes out clean.', 'Cool on a baking rack for 30 minutes then turn the cakes out onto a baking rack to finish cooling.', 'For the frosting in the bowl of an electric mixer fitted with a paddle attachment combine the cream cheese butter vanilla and almond extract on low speed.', 'Add the confectioners sugar and mix until just smooth .', 'To assemble place 1 layer on a flat serving plate top side down and spread with frosting.', 'Place the second layer on top top side up and frost the top and sides.', 'To decorate the cake sprinkle the top with coconut and lightly press more coconut onto the sides.', 'Serve at room temperature.']",https://www.foodnetwork.com/recipes/ina-garten/coconut-cake-recipe-1947027,"['Coconut Cake', 'Cake', 'Coconut Recipes', 'Fruit', 'Baking', 'Dessert', 'Mixer Recipes', 'American', 'Cream Cheese Recipes', 'Low Sodium']",,,,,,,,,,
Beatty's Chocolate Cake,8 servings,"[{'frosting': ['6 ounces good semisweet chocolate', '1/2 pound unsalted butter at room temperature', '1 extra large egg yolk at room temperature', '1 teaspoon pure vanilla extract', '1 1/4 cups sifted confectioners sugar', '1 tablespoon instant coffee powder']}, {'main': ['Chocolate Buttercream Frosting recipe follows', '1 cup freshly brewed hot coffee', '1 teaspoon pure vanilla extract', '2 extra large eggs at room temperature', '1/2 cup vegetable oil', '1 cup buttermilk shaken', '1 teaspoon kosher salt', '1 teaspoon baking powder', '2 teaspoons baking soda', '3/4 cups good cocoa powder', '2 cups sugar', '1 3/4 cups all purpose flour plus more for pans', 'Butter for greasing the pans', 'Deselect All']}]","[' Preheat the oven to 350 degrees F. Butter two 8 inch x 2 inch round cake pans.', 'Line with parchment paper then butter and flour the pans.', 'Sift the flour sugar cocoa baking soda baking powder and salt into the bowl of an electric mixer fitted with a paddle attachment and mix on low speed until combined.', 'In another bowl combine the buttermilk oil eggs and vanilla.', 'With the mixer on low speed slowly add the wet ingredients to the dry.', 'With mixer still on low add the coffee and stir just to combine scraping the bottom of the bowl with a rubber spatula.', 'Pour the batter into the prepared pans and bake for 35 to 40 minutes until a cake tester comes out clean.', 'Cool in the pans for 30 minutes then turn them out onto a cooling rack and cool completely.', 'Place 1 layer flat side up on a flat plate or cake pedestal.', 'With a knife or offset spatula spread the top with frosting.', 'Place the second layer on top rounded side up and spread the frosting evenly on the top and sides of the cake.', 'Chop the chocolate and place it in a heat proof bowl set over a pan of simmering water.', 'Stir until just melted and set aside until cooled to room temperature.', 'In the bowl of an electric mixer fitted with a paddle attachment beat the butter on medium high speed until light yellow and fluffy about 3 minutes.', 'Add the egg yolk and vanilla and continue beating for 3 minutes.', 'Turn the mixer to low gradually add the confectioners sugar then beat at medium speed scraping down the bowl as necessary until smooth and creamy.', 'Dissolve the coffee powder in 2 teaspoons of the hottest tap water.', 'On low speed add the chocolate and coffee to the butter mixture and mix until blended.', 'Don t whip Spread immediately on the cooled cake.']",https://www.foodnetwork.com/recipes/ina-garten/beattys-chocolate-cake-recipe-1947521,"['Chocolate Cake', 'Cake', 'Baking', 'Dessert', 'Mixer Recipes', 'Recipes for a Crowd']",,,,,,,,,,
Angel Food Cake,10 to 12 servings,"[{'main': ['1 3/4 cups sugar', '1/4 teaspoon salt', '1 cup cake flour sifted', '12 egg whites', '1/3 cup warm water', '1 teaspoon orange extract or extract of your choice', '1 1/2 teaspoons cream of tartar']}]","[' Preheat oven to 350 degrees F. In a food processor spin sugar about 2 minutes until it is superfine.', 'Sift half of the sugar with the salt the cake flour setting the remaining sugar aside.', 'In a large bowl use a balloon whisk to thoroughly combine egg whites water orange extract and cream of tartar.', 'After 2 minutes switch to a hand mixer.', 'Slowly sift the reserved sugar beating continuously at medium speed.', 'Once you have achieved medium peaks sift enough of the flour mixture in to dust the top of the foam.', 'Using a spatula fold in gently.', 'Continue until all of the flour mixture is incorporated.', 'Carefully spoon mixture into an ungreased tube pan.', 'Bake for 35 minutes before checking for doneness with a wooden skewer.', '.', 'Cool upside down on cooling rack for at least an hour before removing from pan.']",https://www.foodnetwork.com/recipes/alton-brown/angel-food-cake-recipe-1938726,"['Baking', 'Dessert', 'Healthy', 'American', 'Cake', 'Angel Food Cake', 'Egg Recipes', 'Low Sodium', 'Low-Fat', 'Low Calorie']",,,,,,,,,,
Zucchini Cake,8 servings,"[{'main': ['Butter for greasing the pan', '1 1/2 cups all purpose flour', '1 1/3 cups granulated sugar', '1 cup finely chopped pecans', '1/2 cup sweetened flaked coconut', '2 teaspoons baking soda', '2 teaspoons ground cinnamon', '1 teaspoon kosher salt', '1/4 teaspoon freshly grated nutmeg', '1/4 teaspoon ground ginger', '3 tablespoons vegetable oil', '2 tablespoons milk plus more if needed', '1 teaspoon vanilla extract', '2 large eggs', '2 cups grated unpeeled zucchini']}, {'frosting': ['One 8 ounce package cream cheese softened', '4 tablespoons salted butter softened', '2 cups powdered sugar more or less as needed', '2 teaspoons vanilla extract', '2 splashes milk if needed', '1/2 cup chopped pecans for garnish']}]","[' For the cake Preheat the oven to 350 degrees F. Grease a 9 by 13 inch pan.', 'In a large bowl whisk together the flour granulated sugar pecans coconut baking soda cinnamon salt nutmeg and ginger.', 'In another bowl whisk together the oil milk vanilla and eggs and stir in the grated zucchini.', 'Fold this into the dry ingredients.', 'The batter will be stiff and dry but keep folding it and it will all come together.', 'If it still seems too dry just add a little more milk.', 'Spread the batter into the prepared pan.', 'Bake until a wooden pick inserted in the center comes out with moist crumbs and the cake is pulling away from the sides of the pan about 20 minutes.', 'Cool completely on a wire rack.', 'For the frosting Beat the cream cheese and butter in a large bowl with a mixer at medium speed until smooth.', 'Beat in the powdered sugar and vanilla just until smooth.', 'Add the milk if necessary.', 'Spread the frosting over the top of the cooled cake.', 'Garnish with chopped pecans.']",https://www.foodnetwork.com/recipes/ree-drummond/zucchini-cake-3075406,"['Cake', 'Zucchini Recipes', 'Cream Cheese Recipes', 'Nut Recipes', 'Dessert']",,,,,,,,,,
Fresh Peach Cake,8 servings,"[{'main': ['1/4 pound unsalted butter at room temperature', '1 1/2 cups sugar divided', '2 extra large eggs at room temperature', '1 cup sour cream at room temperature', '1 teaspoon pure vanilla extract', '2 cups all purpose flour', '1 teaspoon baking soda', '1 teaspoon baking powder', '1/2 teaspoon kosher salt', '1 teaspoon ground cinnamon', '3 large ripe peaches peeled pitted and sliced', '1/2 cup chopped pecans']}]","[' Preheat the oven to 350 degrees F. Grease a 9 inch square baking pan.', 'In the bowl of an electric mixer fitted with the paddle attachment beat the butter and 1 cup of the sugar for 3 to 5 minutes on medium high speed until light and fluffy.', 'With the mixer on low add the eggs one at a time then the sour cream and vanilla and mix until the batter is smooth.', 'In a separate bowl sift together the flour baking soda baking powder and salt.', 'With the mixer on low slowly add the dry ingredients to the batter and mix just until combined.', 'In a small bowl combine the remaining 1/2 cup sugar and the cinnamon.', 'Spread half of the batter evenly in the pan.', 'Top with half of the peaches then sprinkle with two thirds of the sugar mixture.', 'Spread the remaining batter on top arrange the remaining peaches on top and sprinkle with the remaining sugar mixture and the pecans.', 'Bake the cake for 45 to 55 minutes until a toothpick inserted in the center comes out clean.', 'Serve warm or at room temperature.']",https://www.foodnetwork.com/recipes/ina-garten/fresh-peach-cake-recipe-1923148,"['Easy Baking', 'Mixer Recipes', 'Cake', 'Fruit', 'Peach Recipes', 'Nut Recipes']",,,,,,,,,,
Basic Chocolate Cake,two 9-inch cakes,"[{'main': ['Cooking spray', '1 cup unsweetened cocoa powder', '2 1/2 cups all purpose flour', '2 cups sugar', '1 1/2 teaspoons baking powder', '1 teaspoon baking soda', '1 teaspoon salt', '3 large eggs at room temperature', '3/4 cup vegetable oil', '1/2 cup sour cream', '2 teaspoons vanilla extract']}]","[' Preheat the oven to 350 degrees F. Coat two 9 inch round cake pans with cooking spray and line the bottoms with parchment paper.', 'Whisk the cocoa powder and 1 1/2 cups boiling water in a medium bowl until smooth set aside.', 'Whisk the flour sugar baking powder baking soda and salt in a large bowl until combined.', 'Add the eggs vegetable oil sour cream and vanilla and beat with a mixer on medium speed until smooth about 1 minute.', 'Reduce the mixer speed to low beat in the cocoa mixture in a steady stream until just combined then finish mixing with a rubber spatula.', 'Divide the batter between the prepared pans and tap the pans against the counter to help the batter settle.', 'Bake until a toothpick inserted into the middle comes out clean 30 to 40 minutes.', 'Transfer to racks and let cool 10 minutes then run a knife around the edge of the pans and turn the cakes out onto the racks to cool completely.', 'Remove the parchment.', 'Trim the tops of the cakes with a long serrated knife to make them level if desired.']",https://www.foodnetwork.com/recipes/food-network-kitchen/basic-chocolate-cake-recipe-2120876,"['Chocolate Cake', 'Cake']",,,,,,,,,,
Lemon Yogurt Cake,1 loaf,"[{'frosting': ['1 cup confectioners sugar', '2 tablespoons freshly squeezed lemon juice']}, {'main': ['1/3 cup freshly squeezed lemon juice', '1/2 cup vegetable oil', '1/2 teaspoon pure vanilla extract', '2 teaspoons grated lemon zest', '3 extra large eggs', '1 1/3 cups sugar divided', '1 cup plain whole milk yogurt', '1/2 teaspoon kosher salt', '2 teaspoons baking powder', '1 1/2 cups all purpose flour', 'Deselect All']}]","[' Preheat the oven to 350 degrees F. Grease an 8 1/2 by 4 1/4 by 2 1/2 inch loaf pan.', 'Line the bottom with parchment paper.', 'Grease and flour the pan.', 'Sift together the flour baking powder and salt into 1 bowl.', 'In another bowl whisk together the yogurt 1 cup sugar the eggs lemon zest and vanilla.', 'Slowly whisk the dry ingredients into the wet ingredients.', 'With a rubber spatula fold the vegetable oil into the batter making sure it s all incorporated.', 'Pour the batter into the prepared pan and bake for about 50 minutes or until a cake tester placed in the center of the loaf comes out clean.', 'Meanwhile cook the 1/3 cup lemon juice and remaining 1/3 cup sugar in a small pan until the sugar dissolves and the mixture is clear.', 'Set aside.', 'When the cake is done allow it to cool in the pan for 10 minutes.', 'Carefully place on a baking rack over a sheet pan.', 'While the cake is still warm pour the lemon sugar mixture over the cake and allow it to soak in.', 'Cool.', 'For the glaze combine the confectioners sugar and lemon juice and pour over the cake.']",https://www.foodnetwork.com/recipes/ina-garten/lemon-yogurt-cake-recipe-1947092,"['Easy Dessert Recipes', 'Dessert', 'Easy Brunch Recipes', 'Brunch', 'Easy Baking', 'Baking', 'Cake', 'Fruit', 'Lemon', 'Dairy Recipes']",,,,,,,,,,
Chocolate Lava Cakes,4 servings,"[{'main': ['Baking spray for spraying custard cups', '1 stick butter', '2 ounces bittersweet chocolate', '2 ounces semisweet chocolate', '1 1/4 cups powdered sugar', '2 whole eggs', '3 egg yolks', '1 teaspoon vanilla', '1/2 cup all purpose flour', 'Vanilla ice cream for serving']}]","[' Preheat the oven to 425 degrees F. Spray four custard cups with baking spray and place on a baking sheet.', 'Microwave the butter bittersweet chocolate and semisweet chocolate in a large bowl on high until the butter is melted about 1 minute.', 'Whisk until the chocolate is also melted.', 'Stir in the sugar until well blended.', 'Whisk in the eggs and egg yolks then add the vanilla.', 'Stir in the flour.', 'Divide the mixture among the custard cups.', 'Bake until the sides are firm and the centers are soft about 13 minutes.', 'Let stand 1 minute.', 'Invert on individual plates while warm and serve with vanilla ice cream.']",https://www.foodnetwork.com/recipes/chocolate-lava-cakes-2312421,"['Chocolate Cake', 'Cake', 'Baking', 'Dessert', 'Low Sodium']",,,,,,,,,,
