Title,Yield,Ingredient,Steps,URL,Tags,processed,keywords
Nutella Cupcakes,14,"[{'main': ['4 tbsp Boiling water', '40g Cocoa powder', '3 Large free range eggs', '175g Unsalted butter ', '165g Billington s Unrefined Golden Caster Sugar', '115g Allinson s Self Raising White Flour', '1 tsp Baking powder']}, {'filling': ['200g Nutella']}, {'frosting': ['175g Unsalted butter ', '350g Silver Spoon Icing Sugar', '2 tbsp Milk', '200g Nutella']}]","['Begin by preparing a 12 hole cupcake tin with cupcake cases and preheating your oven to 200 C  In a large bowl beat together the butter and sugar until light and fluffy.', 'Add the eggs one by one mixing in a tablespoon of the flour with each egg to avoid the mixture from curdling.', 'In a separate bowl mix together the cocoa powder and boiling water to make a smooth paste.', 'Add the flour and baking powder to the egg mixture followed by the cocoa paste and blend all the ingredients together until you reach a smooth batter.', 'Spoon the mixture into each of the cupcake cases filling each 2/3 full and bake in the oven for 12 15 minutes until springy to touch.', 'Remove the cupcakes from the oven and allow to cool on a wire cooling rack.', 'Whilst the cupcakes are cooling make your buttercream by beating together the butter milk and half of the icing sugar.', 'Once combined add the remaining icing sugar and Nutella and beat until light and fluffy.', 'The longer that you beat the icing for the lighter it will be.', 'When the cupcakes have cooled fully use a small sharp knife or an apple corer to carve out the centre of the sponge of each cupcake.', 'Fill a piping bag with Nutella and pipe a small amount into the centre of each cake then top with the remaining sponge that you had removed.', 'To finish your cupcakes fill another piping bag with a star nozzle and your Nutella buttercream and pipe swirls on to the top of each cupcake.', 'For an extra touch add a sprinkle of chopped hazelnuts to the top of the buttercream.']",https://www.bakingmad.com/recipes/nutella-cupcakes,,water cocoa range egg butter caster sugar self powder frosting butter silver spoon sugar milk nutella cupcake cupcake case butter sugar fluffy add mixing flour egg mixture cocoa powder water paste powder egg mixture paste batter spoon mixture cupcake case bake cupcake cool wire cupcake buttercream beating milk half sugar nutella light cupcake knife apple corer carve centre sponge cupcake fill bag nutella pipe sponge cupcake fill bag star nutella buttercream pipe swirl cupcake touch sprinkle hazelnut buttercream url bakingmad nutella cupcake boiling free unsalted golden white flour nutella unsalted hole light avoid separate smooth flour cocoa smooth full touch allow whilst sugar use sharp top finish nozzle top extra top,"['cupcakes', 'nutella', 'cupcake', 'sponge', 'buttercream', 'cocoa']"
Orange Cupcakes ,24,"[{'main': ['200g Unsalted butter ', '200g Billington s Unrefined Golden Caster Sugar', '1 tsp Orange extract', '1 Orange zest', '4 Medium free range eggs ', '200g Self raising white flour']}, {'syrup': ['50g Billington s Unrefined Golden Caster Sugar', '4 tbsp Orange juice', '1 tsp Orange extract', '1 tsp Orange zest']}, {'frosting': ['200g Cream cheese', '100g Unsalted butter ', '600g Silver Spoon Icing Sugar', '1 tsp Orange extract']}]","['Preheat the oven to 180 C .', 'Line two cupcake trays with cupcake cases.', 'Using either an electric mixer or mixing bowl and whisk beat the butter and golden caster sugar together until pale and fluffy then whisk in the orange extract and orange zest.', 'Reduce the whisk speed and slowly add the eggs along with a tbsp of the flour to prevent it from curdling.', 'Add the remaining flour to the butter and sugar mixture.', 'Using either a piping bag or ice cream scoop divide the batter between the cupcake cases and place in the oven for 20 minutes or until lightly golden and firm to the touch.', 'To make the syrup place the golden caster sugar in a pan with the orange juice.', 'Simmer for a few minutes until dissolved then take off the heat and set aside to cool.', 'Once cool stir in the orange extract and zest.', 'Leave the cakes to cool a little on a wire rack then add some orange sugar syrup to the top of each one.', 'To ice put the cream cheese butter orange extract and golden icing sugar in a mixing bowl and slowly mix together until light and fluffy.', 'Place in a piping bag and ice accordingly.', 'Top with additional orange zest.']",https://www.bakingmad.com/recipes/orange-cupcakes,,orange cupcake butter caster sugar orange orange range egg self syrup caster sugar orange juice orange orange cream cheese butter silver spoon sugar orange line cupcake case mixing butter caster sugar orange orange speed egg prevent butter sugar mixture bag ice cream scoop case place firm place caster sugar orange juice simmer heat stir orange extract wire orange sugar ice cheese butter orange icing sugar place bag ice orange bakingmad orange cupcake unsalted golden extract free white flour golden extract unsalted extract electric golden pale fluffy extract flour flour golden syrup golden cool cool cool little top cream extract golden light fluffy top additional url,"['cupcakes', 'orange', 'golden', 'caster', 'ice', 'sugar']"
Cappuccino Cupcakes,10,"[{'main': ['100g Butter ', '100g Billington s Unrefined Golden Caster sugar', '2 Egg ', '100g Self raising white flour', '1 tsp Nielsen Massey Vanilla Extract', '1 tbsp Instant coffee ', '100g Dark chocolate chips']}, {'topping': ['200g Mascarpone cheese', '1 tbsp Billington s Unrefined Golden Caster sugar', '0.5 tsp Nielsen Massey Vanilla Extract', '0.5 tsp Instant coffee ', '50g Dark chocolate chips', ' Cocoa powder ']}]","['Preheat the oven to 180 C .', 'Line a muffin tray with paper cases.', 'To make the cake cream together the butter and sugar in a large bowl until light and fluffy.', 'Beat in the eggs one at a time adding a little flour with each followed by the vanilla extract and the coffee powder.', 'Gently fold in the rest of the flour followed by the chocolate chips.', 'Spoon the mixture into the cupcake cases and bake for 18 22 minutes or until springy to the touch.', 'Remove from the tin and cool on a wire rack.', 'While the cakes are cooling make the cappuccino topping.', 'Mix the mascarpone cheese caster sugar vanilla extract and coffee powder until well blended.', 'Spread or pipe on to cupcakes using a piping bag with a 1cm plain nozzle.', 'Sprinkle over the chocolate chips.']",https://www.bakingmad.com/recipes/cappuccino-cupcakes,,cappuccino butter caster sugar egg self vanilla extract coffee dark chocolate chip caster sugar vanilla extract coffee dark chocolate chip cocoa powder line muffin tray paper case cream butter sugar fluffy egg time vanilla extract coffee powder rest flour chip spoon mixture cupcake case wire cappuccino caster sugar vanilla coffee powder spread pipe cupcake bag plain sprinkle chocolate chip bakingmad cappuccino cupcake unrefined golden white flour instant cheese unrefined golden instant light little flour fold chocolate springy touch cool cheese extract nozzle url,"['cupcakes', 'cappuccino', 'coffee', 'chip', 'caster', 'unrefined']"
Guinness Cupcakes,12,"[{'main': ['250ml Guinness', '250g Unsalted butter ', '400g Billington s Unrefined Golden Caster Sugar', '2 Large free range egg ', '1 tsp Nielsen Massey Vanilla Extract', '140ml Buttermilk', '280g Allinson s Plain White Flour', '2 tsp Bicarbonate of soda', '1/2 tsp Baking powder', '3 tbsp Cocoa powder']}, {'frosting': ['150g Butter ', '300g Silver Spoon Icing Sugar', '3 tbsp Bailey s ']}]","['Preheat the oven to 170 C  and line a cupcake tin with 12 cupcake cases.', 'Pour the Guinness into a saucepan and add the butter heat gently and stir until the butter has melted.', 'Remove from the heat and add the cocoa powder and sugar stirring until well mixed.', 'In another bowl mix together the eggs vanilla extract and buttermilk then add this to the mixture in the saucepan.', 'Sift together the flour bicarbonate of soda and baking powder into a large bowl and pour in the contents of the pan then using a freestanding or hand held mixer mix until the ingredients are all well combined.', 'Spoon the mixture into the cupcake cases until they are about 2/3 full then bake in the oven for 25 minutes or until a skewer comes out clean.', 'Leave the cakes on a cooling wire to cool completely.', 'To make the buttercream mix together the butter and icing sugar until there are no lumps then add the Bailey s and mix until light and fluffy.', 'The longer that you beat the buttercream for the lighter in texture it will become.', 'Spoon the buttercream into a piping bag fitted with a star nozzle and pipe onto each cupcake.']",https://www.bakingmad.com/recipes/guinness-cupcakes,,cupcake guinness butter caster sugar range egg vanilla extract buttermilk bicarbonate soda powder cocoa powder butter silver spoon sugar bailey line cupcake case guinness saucepan butter heat butter ha remove heat cocoa powder sugar egg vanilla buttermilk mixture sift bicarbonate soda pour content hand spoon mixture cupcake case bake skewer wire cool buttercream butter lump add bailey lighter texture buttercream bag star nozzle pipe cupcake bakingmad guinness cupcake guinness unsalted golden free white flour stir mixed extract saucepan flour freestanding full clean sugar light buttercream spoon url,"['cupcakes', 'guinness', 'bailey', 'bicarbonate', 'buttercream', 'content']"
Galaxy Cupcakes,10,"[{'main': ['150g Butter ', '150g Billington s Unrefined Golden Caster Sugar', '3 Eggs ', '150g Self raising white flour', '1/2 tsp Baking powder', '1/2 tsp Nielsen Massey Vanilla Extract']}, {'frosting': ['80g Butter ', '250g Icing sugar', '1 tsp Nielsen Massey Vanilla Extract', '1 pot Food colouring blue pink purple', '1 Edible gold lustre']}]","['Preheat the oven to 180 C .', 'Line a cupcake tin with 12 paper cupcake cases.', 'Beat together the butter and sugar until light and fluffy.', 'Gradually add in the eggs baking powder flour and vanilla extract and beat until fully combined.', 'Spoon the mixture into the cupcake cases filling each of them 2/3 full.', 'Bake for 20 25 minutes until the cupcakes are golden and springy to touch.', 'Whilst the cupcakes are baking make the buttercream by beating together the butter icing sugar and vanilla extract.', 'Before filling the piping bag with the buttercream insert the nozzle then holding the nozzle fold the piping bag over your hand or place the piping bag in a tall glass.', 'Using a small clean paintbrush paint thick stripes of food colouring up the inside of your bag starting with the pink then a stripe of blue then purple until the whole bag is covered.', 'Carefully fill the piping bag with the vanilla buttercream snip off the end of the bag and pipe swirls onto your cupcakes.', 'To finish dust or spray the buttercream lightly with edible gold lustre.']",https://www.bakingmad.com/recipes/galaxy-cupcakes,,butter caster sugar egg self powder vanilla extract butter sugar vanilla extract pot food purple gold lustre line paper cupcake case butter sugar flour vanilla spoon mixture cupcake case bake cupcake springy cupcake buttercream beating butter sugar vanilla extract bag buttercream insert piping bag hand place bag glass paintbrush paint thick stripe food bag pink bag bag vanilla buttercream end bag pipe swirl cupcake dust spray buttercream gold lustre bakingmad unrefined golden white flour blue pink edible light egg full golden touch whilst nozzle fold tall clean stripe blue purple whole fill snip finish edible url,"['cupcakes', 'bag', 'lustre', 'stripe', 'purple', 'gold']"
Poppy Cupcakes,12,"[{'main': ['250g Butter ', '250g Billington s Unrefined Golden Caster sugar', '4 Egg ', '250g Self raising white flour', '1 tsp Nielsen Massey Vanilla Extract']}, {'topping': ['1 tbsp Apricot Jam', '300g White sugar paste icing', '250g Red sugar paste icing', '50g Black sugar paste icing']}]","['Preheat the oven to 180 C  and line a muffin tin with 12 cupcake cases.', 'Cream together the butter and sugar until pale and fluffy then add the eggs one by one mixing after each one.', 'Sift the flour and carefully fold into the mixture.', 'Then stir in the vanilla extract.', 'Spoon the mixture into the paper cases until they are approximately full.', 'Then bake in the oven for 25 30 minutes until golden brown and a skewer comes out clean.', 'Leave to cool.', 'To decorate roll out some of the white icing until it is about 4 5mm thick then cut a disc about the same size as the top of the cupcake.', 'Brush the top of the cake with some warmed apricot jam then position the icing on top.', 'Next roll out some of the red icing and using a flower cutter cut out some flowers.', 'Place the flower onto a folded tea towel and use your fingers to carefully thin out the petals so that they start to curl.', 'Place these on the top of the cupcake using water to glue it to the white icing.', 'To finish take small pieces of black icing and roll into a ball then squash it slightly.', 'Attach this to the centre of each poppy flower again using some water.']",https://www.bakingmad.com/recipes/poppy-cupcakes,,cupcake butter caster sugar egg self vanilla extract jam sugar paste sugar paste sugar paste line case cream butter sugar fluffy add sift flour mixture stir vanilla extract spoon mixture paper case bake brown skewer decorate roll icing mm cut size cupcake brush top jam position roll icing cutter cut flower place flower tea towel use finger start curl place cupcake water roll ball squash flower water bakingmad cupcake poppy golden white flour apricot white red black pale fold full golden clean cool white thick disc top apricot top next red thin petal top glue white finish piece black centre poppy url poppy,"['cupcakes', 'poppy', 'flower', 'roll', 'paste', 'apricot']"
Football Cupcakes,12,"[{'main': ['150g Butter ', '150g Billington s Unrefined Golden Caster sugar', '3 Egg ', '125g Self raising white flour', '25g Cocoa powder']}, {'frosting': ['50g Butter ', '175g Icing sugar', ' Green food colouring']}, {'topping': [' Sweets ']}]","['Heat the oven to 180 C .', 'Line a cup cake tray with 12 paper cupcake cases.', 'Place the butter and sugar in a mixing bowl and beat with a wooden spoon or electric mixer until light and fluffy.', 'Gradually beat in the eggs a little at a time until smooth adding a little flour if the mixture curdles.', 'Stir in the flour and cocoa powder until smooth.', 'Place heaped dessertspoon full in each cupcake case and bake for 20 25 minutes until golden brown and just firm to the touch.', 'Allow the cupcakes to cool completely.', 'To make the buttercream Mix the butter and icing sugar together until light and fluffy then add a drop of food colouring to colour the icing green.', 'Using a piping bag and grass nozzle pipe the icing on top of each cupcake.', 'Decorate with edible football decorations.']",https://www.bakingmad.com/recipes/football-cupcakes,,football cupcake butter caster sugar egg self cocoa powder butter sugar food heat line paper cupcake case place butter sugar spoon light fluffy time mixture cocoa powder place dessertspoon cupcake case firm cupcake cool buttercream butter sugar drop food colour grass nozzle pipe cupcake decorate football decoration bakingmad football cupcake golden white flour green sweet tray wooden electric little little flour flour smooth full golden brown light green bag top edible url,"['cupcakes', 'football', 'green', 'cupcake', 'dessertspoon', 'case']"
Raspberry cupcakes ,12,"[{'main': ['150g Butter ', '150g Billington s Unrefined Golden Caster sugar', '3 Egg ', '150g Self raising white flour', '100g Raspberries ', '0.5 tsp Mint leaves ']}, {'frosting': ['25g Butter ', '75g Cream cheese', '1 tbsp Raspberry jam', '400g Icing sugar']}]","['Pre heat the oven to 180 c .', 'Line a 12 hole cupcake pan with paper cases.', 'Cream together the softened butter and golden caster sugar on a medium speed until light and fluffy.', 'Add the eggs one by one following each with a spoonful of the flour.', 'Mix until evenly combined.', 'Add the flour to the bowl and mix until fully incorporated.', 'Add the raspberries and chopped mint and mix again until evenly dispersed.', 'Fill each paper case with cupcake mixture filling each 2/3rds full.', 'Bake in the oven for 20 25 minutes until well risen and golden.', 'Transfer to a wire rack and allow to cool.', 'To prepare the buttercream beat the butter then add the cream cheese and jam beat again until fully combined.', 'Sift in the icing sugar and mix until fully incorporated.', 'Fit a large piping bag with a star nozzle and add the frosting to the bag.', 'Pipe swirls of frosting to the top of each cupcake and add a raspberry to each to decorate.']",https://www.bakingmad.com/recipes/raspberry-cupcakes,,butter caster sugar egg self flour raspberry mint leaf butter cream cheese jam icing sugar pre heat line cupcake paper case cream butter caster sugar speed fluffy add add raspberry mint paper case mixture bake transfer wire cool prepare buttercream butter cream cheese jam sift sugar piping bag star add bag pipe swirl cupcake add bakingmad raspberry cupcake unrefined golden white hole golden light spoonful flour fill full golden fit nozzle top decorate url,"['cupcakes', 'raspberry', 'mint', 'jam', 'golden', 'add']"
Stormtrooper Cupcakes,12,"[{'main': ['110g Butter ', '110g Caster sugar', '2 Eggs', '110g Self Raising Flour', '1 tsp Nielsen Massey Vanilla Extract', '1 tbsp Milk']}, {'frosting': ['140g Butter ', '280g Icing sugar', '1 tbsp Milk', '1 tsp Nielsen Massey Vanilla Extract']}, {'storm_trooper': ['12 White marshmallows', '1 Black icing pen']}]","['Preheat the oven to 180 c/350 f/Gas 4 and line a 12 hole muffin tin with paper cases.', 'Cream the butter and sugar together in a bowl until pale.', 'Beat in the eggs a little at a time and stir in the vanilla extract.', 'Fold in the flour at the same time adding a little milk until the mixture is of a dropping consistency.', 'Spoon the mixture into the paper cases until they are half full.', 'Bake in the oven for 10 15 minutes or until golden brown on top and a skewer inserted into one of the cakes comes out clean.', 'Set aside to cool.', 'For the buttercream icing beat the butter in a large bowl until soft.', 'Add half the icing sugar and beat until smooth.', 'Then add the remaining icing sugar with one tablespoon of the milk until the mixture is smooth and creamy.', 'Spoon the icing into a piping bag with a star nozzle and pipe the icing using a spiralling motion onto the cup cakes in a large swirl.', 'Add a marshmallow to the top and paint on a Stormtrooper face using an edible icing pen.']",https://www.bakingmad.com/recipes/stormtrooper-cupcakes,,cupcake butter caster sugar egg self vanilla extract milk butter sugar milk vanilla storm gas line hole muffin paper case cream butter sugar egg time vanilla extract time milk mixture consistency spoon mixture paper case half bake brown skewer cool buttercream butter half add sugar milk mixture spoon star nozzle pipe motion marshmallow paint stormtrooper face bakingmad stormtrooper cupcake stormtrooper flour extract white marshmallow black pen pale little stir flour little full golden top come clean soft sugar smooth smooth creamy bag swirl add top edible pen url,"['cupcakes', 'stormtrooper', 'pen', 'storm', 'marshmallow', 'milk']"
Spider Cupcakes,12,"[{'main': ['200g Unsalted butter', '200g Billington s Unrefined Golden Caster Sugar', '3 Free range medium eggs', '150g Allinson s Self Raising White Flour', '50g Cocoa powder', '1 tsp Nielsen massey chocolate extract']}, {'topping': ['400g Silver Spoon Icing Sugar', '200g Unsalted butter', '96 Liquorice sweets ', '12 Oreo cookies', '12 Mini marshmallows']}]","['Preheat the oven to 180 C  and line a cupcake tin with 12 cupcake cases.', 'We used black for the spiders body Cream together the butter and sugar until pale and fluffy then add the eggs one by one beating well between each one.', 'Then add the chocolate extract.', 'Next carefully fold in the flour and sieved cocoa powder then spoon into the cupcake cases until they are about 2/3 full.', 'Place in the oven for about 20 minutes or until a skewer inserted in the centre comes out clean.', 'Remove from the oven and leave to cool.', 'To make the buttercream beat together the butter and icing sugar until light and fluffy.', 'Spoon this onto the top of the cooled cakes using the back of the spoon to smooth the buttercream into a dome.', 'Take the liquorice strands and cut them down for the legs then carefully place 4 legs on each side of the cupcake.', 'Place the Oreo cookie on top for the body of the spider and then halve a mini marshmallow for the eyes and add a tiny piece of liquorice for the centre of the eyes.']",https://www.bakingmad.com/recipes/spider-cupcakes,,spider cupcake butter caster sugar range egg self cocoa powder chocolate extract spoon sugar butter liquorice cooky line cupcake cupcake case spider body cream butter sugar fluffy add beating add chocolate flour powder spoon cupcake case place skewer remove buttercream butter sugar spoon top spoon smooth buttercream dome liquorice strand cut leg side cupcake place cookie top body spider halve marshmallow eye piece liquorice centre eye spider cupcake unsalted golden free white flour silver unsalted sweet oreo marshmallow black pale extract next fold cocoa full centre come clean cool light fluffy place leg oreo tiny url bakingmad,"['cupcakes', 'spider', 'liquorice', 'oreo', 'leg', 'body']"
