Title,Yield,Ingredients,Steps,URL,Tags,processed,keywords
Hummingbird Cupcakes,1 dozen cupcakes,"[{'main': [' 1 1/2 cups all purpose flour ', ' 3/4 cup sugar ', ' 1/2 teaspoon baking soda ', ' 1/2 teaspoon cinnamon ', ' 1/4 teaspoon salt ', ' 1/4 teaspoon ground cardamom ', ' Pinch grated nutmeg ', ' 1 egg ', ' 1/4 cup applesauce ', ' 1 1/2 tablespoons olive or vegetable oil ', ' 3/4 cup mashed banana ', ' 4 ounces crushed pineapple undrained ', ' 1 teaspoon pure vanilla extract ', ' 1/2 cup pecans chopped ']}, {'frosting': [' 8 ounces cream cheese softened ', ' 6 tablespoons butter softened ', ' 1 teaspoon pure vanilla extract ', ' 1 cup powdered sugar more to taste ']}]","['Preheat the oven to 350 F and line a 12 cup muffin pan with cupcake papers.', 'In a large bowl whisk together flour sugar baking soda cinnamon salt cardamom and nutmeg.', 'Set aside.', 'In another bowl whisk together egg applesauce oil banana pineapple and vanilla.', 'Pour into dry ingredients and stir until well combined.', 'Stir in pecans if using.', 'Scoop batter into prepared pan filling cups about 3/4 full.', 'Bake for 18 20 minutes until a toothpick inserted in the center comes out clean.', 'Let cool in pan briefly then remove to a wire rack to cool completely.', 'To make the frosting using a hand mixer beat together cream cheese and butter until smooth.', 'Add vanilla and powdered sugar and beat until light and fluffy adding more sugar as desired.', 'Pipe onto cooled cupcakes and top with a pecan half if desired.']",https://www.mybakingaddiction.com/hummingbird-cupcakes/,"['cake', 'cupcakes', 'cupcakes']",cupcake dozen sugar soda cinnamon salt ground cardamom egg oil banana pineapple pure vanilla cream cheese butter vanilla extract taste line muffin paper sugar soda cinnamon salt cardamom nutmeg egg oil banana pineapple vanilla stir batter bake toothpick center let briefly wire cool hand cream cheese butter vanilla sugar light fluffy sugar cupcake half mybakingaddiction hummingbird cupcake hummingbird flour nutmeg olive vegetable undrained extract pecan pure sugar flour dry stir pecan scoop full clean cool smooth pipe cooled top pecan url,"['cardamom', 'hummingbird', 'pecan', 'pineapple', 'banana']"
Pumpkin Spice Marshmallow Treat Cupcakes,12 servings,"[{'main': [' 3 tablespoons unsalted butter ', ' 1 package Campfire Pumpkin Spice Marshmallows ', ' 5 cups crispy rice cereal ']}, {'frosting': [' 8 ounces cream cheese softened to room temperature ', ' 4 tablespoons unsalted butter softened to room temperature ', ' 1 pound confectioners sugar sifted ', ' 2 teaspoons vanilla extract ']}]","['Spray the wells of a 12 cup standard cupcake pan with nonstick cooking spray.', 'In large pan melt butter over low heat.', 'Add the marshmallows to the pan and stir until completely melted.', 'Gradually add crispy rice cereal stirring until well coated.', 'Use a buttered spatula or clean buttered hands to firmly press the mixture into the wells of the prepared pan.', 'You ll need to work quickly so the mixture doesn t set up in the pan.', 'Cool for about 15 minutes.', 'Remove marshmallow treat cupcakes from the pan and prepare the frosting.', 'In a the bowl of a stand mixer fitted with the paddle attachment cream together cream cheese and butter until well combined about 5 minutes.', 'With the mixer of low gradually add the confectioners sugar until thoroughly incorporated and smooth.', 'Add vanilla and mix to combine.', 'Turn mixer to medium speed and mix for approximately 5 more minutes.', 'Pipe frosting onto marshmallow treat cupcakes.', 'If desired top with additional Campfire Pumpkin Spice Marshmallow.']",https://www.mybakingaddiction.com/pumpkin-spice-marshmallow-treat-cupcakes/,"['marshmallow treats', 'marshmallows', 'no bake', 'no bake 2', 'sponsored']",spice marshmallow treat butter package campfire pumpkin spice marshmallow crispy rice cereal cream cheese butter confectioner sugar vanilla extract spray cupcake cooking spray heat stir crispy rice cereal use hand press mixture work treat cupcake prepare stand attachment cream cheese butter confectioner sugar combine speed treat cupcake campfire pumpkin spice marshmallow mybakingaddiction pumpkin spice marshmallow treat treat bake bake pumpkin unsalted unsalted standard nonstick low marshmallow add spatula clean prepared mixture cool marshmallow paddle cream low smooth vanilla pipe marshmallow top additional url marshmallow marshmallow,"['marshmallow', 'pumpkin', 'spice', 'crispy', 'cereal']"
Easy Strawberry Cupcakes,24 cupcakes,"[{'main': [' 1 package French Vanilla cake mix ', ' 1/2 package instant vanilla pudding mix ', ' 1 cup Greek strawberry yogurt ', ' 3/4 cup vegetable oil ', ' 1/2 cup water ', ' 4 eggs lightly beaten ', ' 2 teaspoons pure vanilla extract ', ' 1 cup diced fresh strawberries ']}, {'frosting': [' 4 sticks unsalted butter room temperature ', ' 1.5 pounds confectioners sugar sifted ', ' 2 teaspoons pure vanilla extract ', ' About 8 medium fresh strawberries pureed ']}]","['Preheat oven to 350 degrees F. Line muffin tin with paper liners or spray with non stick cooking spray.', 'In the bowl of a stand mixer fitted with the paddle attachment or with a hand mixer in a large bowl beat together the cake and pudding mixes Greek yogurt oil water eggs and vanilla.', 'Beat for about two minutes on medium speed until well combined.', 'Fold in diced strawberries Using a large cookie scoop distribute the batter between 24 muffin wells about 3 tablespoons of batter per well.', 'Bake in preheated oven for 18 22 minutes or until the tops of the cakes spring back when lightly touched.', 'Allow cupcakes to cool inside muffin tins for about 10 minutes.', 'The cupcakes may develop a slight divot in the center as they cool but no worries you ll cover that with delicious frosting.', 'Remove cupcakes from muffin tins and allow to fully cool on a wire rack.', 'Once cupcakes are cool prepare your frosting.', 'In the bowl of a stand mixer fitted with the paddle attachment beat the butter on medium high speed for about 5 minutes.', 'Turn the mixer down to low speed and gradually add in the confectioners sugar until it is completely incorporated.', 'Add in vanilla and 3 tablespoons of the strawberry puree mix until incorporated.', 'Turn off the mixer and check the buttercream for taste and texture.', 'Gradually add in the last 2 tablespoons of strawberry puree until you reach the desired level of strawberry flavor.', 'Please note that adding more than the recommended 5 tablespoons could result in a thinner frosting.', 'Turn the mixer back up to medium high speed and beat the mixture for about 3 4 minutes or until light and fluffy.', 'Pipe the frosting onto the cooled cupcakes and if desired garnish with fresh strawberries.']",https://www.mybakingaddiction.com/strawberry-cupcakes-recipe/,"['berries', 'buttercream frosting', 'cake', 'cupcakes', 'desserts', 'easy recipes', 'fruit', 'strawberries', 'berries', 'buttercream frosting', 'cupcakes', 'desserts', 'easy recipes', 'fruit', 'strawberries']",cupcake cupcake package vanilla package vanilla strawberry yogurt oil water egg pure vanilla extract strawberry butter confectioner sugar vanilla extract strawberry line muffin paper spray cooking spray stand hand cake yogurt oil water egg vanilla speed fold strawberry cookie scoop distribute batter muffin cake spring cupcake cupcake divot center cool cupcake muffin wire cupcake cool prepare stand attachment butter speed speed confectioner sugar vanilla turn check buttercream taste texture reach level strawberry flavor please note turn speed mixture fluffy pipe cupcake strawberry mybakingaddiction strawberry berry buttercream cupcake dessert fruit strawberry buttercream cupcake dessert fruit strawberry easy strawberry french instant greek vegetable beaten fresh unsalted pure fresh degree non paddle attachment greek top allow cool muffin slight delicious cool paddle high low add last strawberry puree high light garnish fresh url cake easy easy,"['strawberry', 'cupcake', 'muffin', 'easy', 'greek']"
Marshmallow Treat Cupcakes,12 servings,"[{'main': [' 3 tablespoons unsalted butter ', ' 1 package Campfire Egg Swirlers OR Campfire Mini Fruit Marshmallows ', ' 5 cups crispy rice cereal ']}, {'frosting': [' 1 cup unsalted butter room temperature ', ' 3 cups powdered sugar sifted ', ' 1 1/2 teaspoons vanilla extract ', ' 1 2 tablespoons milk as needed ', ' sprinkles edible grass and additional Campfire Marshmallows for topping ']}]","['For the Marshmallow Treat CupcakesSpray the wells of a 12 cup standard cupcake pan with nonstick cooking spray.', 'In large pan melt butter over low heat.', 'Add the marshmallows to the pan and stir until completely melted.', 'If using Campfire Egg Swirlers this will take a little patience due to their size.', 'To decrease the melting time you can cut the marshmallows into smaller pieces before add them to the pan.', 'Gradually add crispy rice cereal stirring until well coated.', 'Use a buttered spatula or clean buttered hands to firmly press the mixture into the wells of the prepared cupcake pan.', 'You ll need to work quickly so the mixture doesn t set up in the pan you melted the marshmallows in.', 'Cool for about 15 minutes.', 'Remove marshmallow treat cupcakes from the pan and prepare the frosting.', 'For the Buttercream Frosting In the bowl of a stand mixer fitted with the paddle attachment or in a large bowl with an electric mixer beat butter on medium high speed for about 5 minutes.', 'With the mixer on low speed slowly add in powdered sugar and continue beating until well combined.', 'Add in vanilla and 1 teaspoon of milk.', 'Mix on low speed until incorporated.', 'Beat at high speed until frosting is smooth and fluffy about 4 5 more minutes.', 'If your frosting is too thick gradually add a little more milk 1 teaspoon at a time until you reach the desired consistency.', 'Spread or pipe frosting onto cooled marshmallow treat cupcakes and top with colorful sprinkles edible grass and additional Campfire Marshmallows']",https://www.mybakingaddiction.com/marshmallow-treat-cupcakes/,"['marshmallow treats', 'easter', 'marshmallow treats', 'spring desserts']",treat cupcake butter package campfire egg fruit marshmallow crispy rice cereal butter sugar vanilla extract milk sprinkle grass campfire marshmallow treat cupcakesspray cupcake cooking spray heat stir campfire egg patience size decrease time cut piece crispy rice cereal use hand press mixture work mixture cool treat cupcake prepare buttercream stand attachment butter speed speed sugar continue milk speed speed time reach consistency spread pipe treat cupcake colorful sprinkle grass campfire marshmallow mybakingaddiction marshmallow treat treat easter treat spring dessert marshmallow unsalted unsalted edible additional marshmallow standard nonstick low marshmallow little due marshmallow add spatula clean prepared marshmallow marshmallow paddle electric high low powdered vanilla low high smooth fluffy thick little milk marshmallow top edible additional url marshmallow marshmallow,"['marshmallow', 'campfire', 'edible', 'crispy', 'grass']"
Valentine Marshmallow Cupcakes,24 cupcakes,"[{'main': [' 1 package devil s food cake mix ', ' 1 package instant chocolate pudding mix ', ' 3/4 cup sour cream ', ' 3/4 cup vegetable oil ', ' 3 large eggs lightly beaten ', ' 2 teaspoons pure vanilla extract ', ' 1/2 cup warm water ', ' 2/3 cup mini chocolate chips optional ', ' 24 Campfire CupidMallows ', ' 1/2 cup candy melts ', ' sparkling sugar ', ' 3 sticks unsalted butter softened ', ' 1 pounds powdered sugar sifted ', ' 2 teaspoons clear vanilla extract ', ' 2 3 tablespoons heavy cream or milk ']}]","['Preheat oven to 350 F. Line 2 12 cup standard muffin tins with paper liners.', 'In the bowl of a stand mixer fitted with the paddle attachment or with a hand mixer in a large bowl beat together the cake and pudding mixes sour cream oil eggs vanilla and water.', 'Beat for about two minutes on medium speed until well combined.', 'Fold in chocolate chips.', 'Be sure to scrape down the sides of the bowl and give them batter one final mix.', 'Using a large cookie scoop distribute the batter between 24 muffin wells about 3 tablespoons of batter per well.', 'Bake in preheated oven for 18 22 minutes or until the tops of the cakes spring back when lightly touched.', 'Allow cupcakes to cool inside muffin tins for about 10 minutes.', 'Remove cupcakes from muffin tins and allow to fully cool on a wire rack.', 'Once the cupcakes have cooled prepare the sparkling hearts and buttercream.', 'Line a baking sheet with parchment paper.', 'Melt the candy melts according to package directions.', 'Dip one side of the heart into the melts and use an offset spatula to remove any excess melted candy immediately sprinkle the heart with sparkling sugar.', 'Place the dipped heart on prepared sheet and allow the candy to harden.', 'Repeat with remaining CupidMallows.', 'In the bowl of a stand mixer fitted with the paddle attachment beat the butter on medium high speed for five minutes.', 'With the mixer on low speed slowly add in the powdered sugar and continue beating until well blended.', 'Add in vanilla and mix on low speed until incorporated.', 'Turn the mixer back up to medium high speed and beat the buttercream for an additional 5 minutes.', 'If the buttercream is too thick add in a bit of milk one teaspoon at a time until you reach the desired consistency.', 'Pipe buttecream onto cooled cupcakes and top with sparkling hearts.']",https://www.mybakingaddiction.com/valentine-marshmallow-cupcakes/,"['cake', 'chocolate', 'cupcakes', 'marshmallows', 'buttercream', 'chocolate', 'cupcakes', 'marshmallows']",valentine marshmallow cupcake cupcake package food cake package chocolate cream oil egg pure vanilla water chocolate chip campfire candy melt sugar butter sugar vanilla extract cream milk line muffin paper stand hand cake cream oil egg vanilla water speed chocolate chip side batter cookie scoop distribute batter muffin cake spring cupcake cupcake muffin wire cupcake heart buttercream line sheet paper melt package direction dip side heart melt use candy heart place heart sheet candy repeat attachment butter speed speed sugar continue vanilla speed speed buttercream thick time reach consistency pipe buttecream cupcake heart mybakingaddiction valentine cupcake cake chocolate cupcake buttercream chocolate cupcake marshmallow devil instant sour vegetable beaten extract warm optional unsalted powdered clear heavy standard paddle attachment sour fold sure scrape final top allow cool cool prepare parchment candy sprinkle sugar prepared harden paddle high low powdered low high additional milk top url marshmallow marshmallow,"['heart', 'cupcake', 'marshmallow', 'candy', 'muffin']"
Gingerbread Marshmallow Treat Cupcakes,12 servings,"[{'main': [' 3 tablespoons unsalted butter ', ' 1 package Campfire Gingerbread Marshmallows ', ' 5 cups crispy rice cereal ', ' 1/4 cup colorful sprinkles ']}, {'frosting': [' 1 cup unsalted butter room temperature ', ' 3 cups powdered sugar sifted ', ' 1 1/2 teaspoons vanilla extract ', ' 1 2 tablespoons milk as needed ', ' sprinkles and additional Campfire Gingerbread Marshmallows for topping ']}]","['Spray the wells of a 12 cup standard cupcake pan with nonstick cooking spray.', 'In large pan melt butter over low heat.', 'Add the marshmallows to the pan and stir until completely melted.', 'Gradually add crispy rice cereal stirring until well coated.', 'Add in sprinkles and stir until just incorporated.', 'Over stirring will cause the sprinkles to release their color into the cereal mixture.', 'Use a buttered spatula or clean buttered hands to firmly press the mixture into the wells of the prepared pan.', 'You ll need to work quickly so the mixture doesn t set up in the pan.', 'Cool for about 15 minutes.', 'Remove marshmallow treat cupcakes from the pan and prepare the frosting.', 'In the bowl of a stand mixer fitted with the paddle attachment or in a large bowl with an electric mixer beat butter on medium high speed for about 5 minutes.', 'With the mixer on low speed slowly add in powdered sugar and continue beating until well combined.', 'Add in vanilla and 1 teaspoon of milk.', 'Mix on low speed until incorporated.', 'Beat at high speed until frosting is smooth and fluffy about 4 5 more minutes.', 'If your frosting is too thick gradually add a little more milk 1 teaspoon at a time until you reach the desired consistency.', 'Spread or pipe frosting onto cooled marshmallow treat cupcakes and top with colorful sprinkles and gingerbread marshmallows.']",https://www.mybakingaddiction.com/gingerbread-marshmallow-treat-cupcakes/,"['christmas', 'marshmallow treats', 'christmas', 'marshmallow treats', 'marshmallows']",marshmallow treat butter package campfire gingerbread marshmallow crispy rice cereal sprinkle butter sugar vanilla extract milk campfire gingerbread spray cupcake cooking spray heat stir crispy rice cereal stir cause sprinkle release color cereal mixture use hand press mixture work treat cupcake prepare stand attachment butter speed speed sugar continue milk speed speed time reach consistency spread pipe treat cupcake colorful sprinkle gingerbread marshmallow mybakingaddiction gingerbread marshmallow treat treat treat marshmallow gingerbread unsalted colorful unsalted sprinkle additional standard nonstick low marshmallow add sprinkle spatula clean prepared mixture cool marshmallow paddle electric high low powdered vanilla low high smooth fluffy thick little milk marshmallow top url marshmallow,"['marshmallow', 'gingerbread', 'cereal', 'colorful', 'crispy']"
Cherry Cheesecake Cupcakes,24 cupcakes,"[{'main': [' 1 cup Challenge unsalted butter room temperature ', ' 1 1/2 cups sugar ', ' 2 3/4 cups cake flour ', ' 1 tablespoon baking powder ', ' 4 large eggs at room temperature ', ' 1 cup whole milk ', ' 2 1/2 teaspoons pure vanilla extract ', ' 1/3 cup finely ground graham cracker crumbs ']}, {'frosting': [' 8 ounces Challenge cream cheese softened to room temperature ', ' 4 tablespoons unsalted butter softened to room temperature ', ' 1 pound confectioners sugar sifted ', ' 2 teaspoons vanilla extract ']}, {'topping': [' 1/2 cup coarsely chopped graham cracker crumbs ', ' 1 can cherry pie filling ']}]","['Preheat oven to 350 F. Line two 12 cup standard muffin tins with paper liners.', 'In the bowl of a stand mixer fitted with the paddle attachment or in a large bowl with an electric mixer cream the butter and sugar on medium speed for 5 minutes.', 'In a medium bowl sift together the cake flour and baking powder.', 'Set aside.', 'Add the eggs one at a time to the butter mixture mixing the batter well between each egg.', 'Scrape down the sides of the mixing bowl with a rubber spatula and mix for an additional 30 seconds.', 'Add in half of the flour mixture then all of the milk and vanilla followed by the rest of the flour mixture.', 'Scrape the sides of the mixing bowl again and mix for an additional 30 seconds to make sure the batter is smooth and ingredients are evenly incorporated.', 'Finally fold in the graham cracker crumbs with a rubber spatula.', 'Use a large cookie scoop to divide the batter between the prepared muffin pans.', 'Bake in preheated oven for 18 22 minutes.', 'Place pans on cooking racks and cool completely.', 'In a the bowl of a stand mixer fitted with the paddle attachment cream together cream cheese and butter until well combined about 5 minutes.', 'With the mixer of low gradually add the confectioners sugar until thoroughly incorporated and smooth.', 'Add vanilla and mix to combine.', 'Turn mixer to medium speed and mix for approximately 5 more minutes.', 'Pipe or spread frosting onto cooled cupcakes.', 'Sprinkle frosted cupcakes with graham cracker crumbs and top with cherry pie filling.']",https://www.mybakingaddiction.com/cherry-cheesecake-cupcakes/,"['cake', 'cheesecake', 'cream cheese frosting', 'cupcakes', 'cheesecake', 'cherries', 'cream cheese frosting', 'cupcakes']",cupcake challenge butter sugar powder egg milk pure vanilla extract ground graham cracker crumb challenge cream cheese butter confectioner sugar vanilla extract graham cracker crumb cherry line standard paper stand attachment cream butter sugar speed sift powder add time butter mixture batter side rubber second mixture milk vanilla mixture scrape side make batter smooth graham cracker spatula use cookie scoop batter place attachment cream cheese butter confectioner sugar combine speed spread cupcake sprinkle graham cracker cherry pie mybakingaddiction cherry cream cheese cheesecake cherry cream cheese cupcake cherry cupcake unsalted flour whole unsalted paddle electric flour scrape spatula additional flour flour additional second sure fold preheated cool paddle cream low smooth vanilla pipe cupcake top url cheesecake cupcake,"['cherry', 'graham', 'cracker', 'cupcake', 'challenge']"
Raspberry Lemonade Cupcakes,24 cupcakes,"[{'main': [' 1 cup unsalted butter room temperature ', ' 2 cup sugar ', ' Zest of 2 small lemons ', ' 4 eggs ', ' 2 1/2 cup flour ', ' 1/2 cup cornstarch ', ' 1 tablespoon baking powder ', ' 1 teaspoon salt ', ' 1 cup sour cream ', ' 2 tablespoons milk ', ' 2 tablespoons freshly squeezed lemon juice ', ' 1 1/2 teaspoons vanilla extract ', ' 1 cup unsalted butter room temperature ', ' 1 teaspoons vanilla extract ', ' 1 teaspoon lemon zest optional ', ' 3 4 cup powdered sugar ', ' 1/4 cup raspberry puree jam preserves ']}]","['Preheat oven to 350 F and line pans with cupcake liners.', 'Beat butter sugar and lemon zest together until light and fluffy.', 'Add in eggs and mix until thoroughly incorporated.', 'In a large bowl whisk together flour cornstarch baking powder and salt.', 'You can sift these ingredients together if you prefer a very light texture.', 'Add half the dry ingredients to the butter/sugar/zest and mix on medium speed.', 'Then add sour cream milk and lemon juice and mix again.', 'Continue to add the rest of the dry ingredients.', 'Scrape down the sides of the bowl after each new addition.', 'Be careful to not over mix Evenly divide the batter between the 24 cupcake liners.', 'Bake for 18 22 minutes or until an inserted knife or toothpick comes out clean.', 'Let cupcakes cool.', 'To make frosting beat butter for 1 minute.', 'Add vanilla extract and lemon zest and 2 cup of powdered sugar.', 'Then add your raspberries  Continue to add as much powdered sugar as needed to reach your desired consistency Pipe onto cooled cupcakes and top with fresh raspberries']",https://www.mybakingaddiction.com/raspberry-lemonade-cupcakes/,"['cake', 'cupcakes', 'lemon', 'raspberries', 'cupcakes', 'lemon', 'raspberries', 'summer']",raspberry butter sugar lemon egg cornstarch powder cream milk juice vanilla extract butter vanilla sugar jam preserve line butter sugar lemon fluffy egg cornstarch powder salt texture butter sugar speed cream milk juice scrape side addition bake butter vanilla zest add raspberry sugar reach consistency pipe cupcake raspberry mybakingaddiction raspberry cupcake lemon raspberry summer unsalted sour lemon unsalted extract lemon optional powdered puree light flour light half dry sour lemon dry new careful toothpick clean frosting extract lemon sugar top fresh url lemon,"['lemon', 'raspberry', 'preserve', 'sugar', 'cornstarch']"
Banana Cupcakes with Cream Cheese Frosting,12 cupcakes,"[{'main': [' 1 cup plus 2 tablespoons cake flour ', ' 1/2 teaspoon baking powder ', ' 1/2 teaspoon baking soda ', ' 1/4 teaspoon fine salt ', ' 1 teaspoon ground cinnamon ', ' 1/2 cup unsalted butter softened ', ' 1/4 cup granulated sugar ', ' 1/4 cup light brown sugar ', ' 1/4 cup sour cream ', ' 2 teaspoons vanilla extract ', ' 2 large eggs ', ' 2 large ripe bananas peeled and mashed ']}, {'frosting': [' 8 ounces cream cheese softened to room temperature ', ' 4 tablespoons unsalted butter softened to room temperature ', ' 1 pound confectioners sugar sifted ', ' 2 teaspoons vanilla extract ']}]","['Preheat oven to 350 F. Line a 12 cup muffin pan with paper liners.', 'In a medium bowl whisk together the cake flour baking powder baking soda salt and cinnamon.', 'In the bowl of a stand mixer fitted with the paddle attachment or in a large bowl with an electric mixer beat the butter and sugars on medium speed until light and fluffy about 4 minutes.', 'Add in sour cream vanilla and eggs and mix until combined.', 'Gradually add the flour mixture to the butter mixture and mix until just combined.', 'Fold in the mashed bananas until incorporated taking care to not over mix.', 'Use a large cookie scoop  to divide the batter between the prepared muffin cups.', 'Bake cupcakes in preheated oven for 18 20 minutes or until the tops turn golden brown and a toothpick inserted in the middle of the cupcake comes out clean.', 'Allow cupcakes to cool completely.', 'In a the bowl of a stand mixer fitted with the paddle attachment cream together cream cheese and butter until well combined about 5 minutes.', 'With the mixer of low gradually add the confectioners sugar until thoroughly incorporated and smooth.', 'Add vanilla and mix to combine.', 'Turn mixer to medium speed and mix for approximately 5 more minutes.', 'Pipe or spread frosting onto cooled cupcakes.', 'If desired top with finely chopped pecans.']",https://www.mybakingaddiction.com/banana-cupcakes-with-cream-cheese-frosting/,"['bananas', 'cake', 'cream cheese frosting', 'cupcakes', 'bananas', 'cream cheese frosting', 'cupcakes']",cream cheese powder soda salt ground cinnamon butter sugar sugar cream vanilla extract egg banana frosting cream cheese butter confectioner sugar vanilla extract line paper powder soda salt cinnamon stand attachment butter sugar speed fluffy cream vanilla egg mixture butter mixture banana care use cookie scoop batter cupcake turn brown toothpick cupcake cupcake cool attachment cream cheese butter confectioner sugar combine speed spread cupcake mybakingaddiction cream cheese cream cheese cupcake banana cream cheese cupcake cupcake flour fine granulated brown sour ripe mashed unsalted flour paddle electric light sour flour top golden middle clean allow paddle cream low smooth vanilla pipe top pecan url,"['cupcake', 'cheese', 'banana', 'cream', 'care']"
Gingerbread Icebox Cupcakes,12 cupcakes ,"[{'main': [' 48 gingersnap cookies ', ' 1 1/2 cups heavy whipping cream ', ' 2 tablespoons powdered sugar ', ' a splash of pure vanilla extract ', ' ground cinnamon ', ' 3/4 cup granulated sugar ', ' maldon sea salt flakes ']}]","['Using an electric hand mixer or a stand mixer combine the cream sugar and vanilla.', 'Whip until thick.', 'Prepare 12 jumbo cupcake liners and place a gingersnap in the bottom of each.', 'Top the cookie with a spoonful of whipped cream then layer with a second cookie.', 'Repeat until each cupcake liner has four cookies topped with cream.', 'Sprinkle with cinnamon.', 'Refrigerate overnight or for at least 6 hours.', 'When the cupcakes are ready they will be easy to slice and have a cake like texture.', 'To make the Salted Caramel Sugar line a baking sheet with parchment paper.', 'Pour 3/4 cup sugar into a heavy bottomed pan and spread evenly.', 'Heat over medium low heat watching constantly and carefully.', 'The sugar will begin to liquefy along the edges first.', 'Watch it carefully as it liquefies using a high heat spatula to break up any clumps.', 'When it has liquefied completely and resembles a shiny penny in color remove from heat.', 'Temperature should be about 340 to 350 degrees Fahrenheit.', 'Pour evenly onto the prepared parchment paper and sprinkle generously with sea salt flakes.', 'The sugar will have hardened in about 5 minutes at which point you can crush it up and sprinkle it on top of the cupcakes.']",https://www.mybakingaddiction.com/gingerbread-icebox-cupcakes/,"['autumn desserts', 'autumn recipes', 'cake', 'christmas', 'cinnamon', 'cupcakes', 'desserts', 'easy recipes', 'ginger', 'heavy cream', 'holiday recipes', 'no bake 2', 'salted caramel']",gingerbread cream pure vanilla extract ground cinnamon sea salt hand combine cream sugar vanilla whip prepare place bottom cookie spoonful cream layer cookie repeat cooky cream sprinkle cinnamon refrigerate hour cake texture caramel sugar line sheet paper pour sugar heavy heat heat begin liquefy edge heat spatula break clump ha penny color heat pour paper sprinkle flake sugar point crush cupcake mybakingaddiction gingerbread icebox autumn dessert autumn christmas ginger cream holiday caramel gingersnap heavy sugar splash sugar electric thick jumbo cupcake gingersnap top second ready easy slice parchment spread low sugar high resembles shiny degree prepared parchment salt top url dessert easy heavy,"['autumn', 'gingersnap', 'gingerbread', 'heat', 'easy']"
