Title,Yield,Ingredients,Steps,URL,Tags,,,,,,,,,,,,,,,,,,
Coconut Cupcakes,18 to 20 cupcakes,"[{'frosting': ['1 pound cream cheese at room temperature', '3/4 pound unsalted butter room temperature', '1 teaspoon pure vanilla extract', '1/2 teaspoon pure almond extract', '1 1/2 pounds confectioners sugar sifted']}, {'main': ['14 ounces sweetened shredded coconut', '1 cup buttermilk', '1/2 teaspoon kosher salt', '1/2 teaspoon baking soda', '1 teaspoon baking powder', '3 cups flour', '1 1/2 teaspoons pure almond extract', '1 1/2 teaspoons pure vanilla extract', '5 extra large eggs at room temperature', '2 cups sugar', '3/4 pound unsalted butter room temperature']}]","['Preheat the oven to 325 degrees F. In the bowl of an electric mixer fitted with the paddle attachment cream the butter and sugar on high speed until light and fluffy about 5 minutes.', 'With the mixer on low speed add the eggs 1 at a time scraping down the bowl after each addition.', 'Add the vanilla and almond extracts and mix well.', 'In a separate bowl sift together the flour baking powder baking soda and salt.', 'In 3 parts alternately add the dry ingredients and the buttermilk to the batter beginning and ending with the dry.', 'Mix until just combined.', 'Fold in 7 ounces of coconut.', 'Line a muffin pan with paper liners.', 'Fill each liner to the top with batter.', 'Bake for 25 to 35 minutes until the tops are brown and a toothpick comes out clean.', 'Allow to cool in the pan for 15 minutes.', 'Remove to a baking rack and cool completely.', 'Meanwhile make the frosting.', 'In the bowl of an electric mixer fitted with the paddle attachment on low speed cream together the cream cheese butter and vanilla and almond extracts.', 'Add the confectioners sugar and mix until smooth.', 'Frost the cupcakes and sprinkle with the remaining coconut.']",https://www.foodnetwork.com/recipes/ina-garten/coconut-cupcakes-recipe-2013580,"['Baking', 'Dessert', 'Mixer Recipes', 'Cupcake', 'Buttermilk', 'Dairy Recipes', 'Sugar', 'Cream Cheese Recipes', 'Egg Recipes', 'Coconut Recipes']",,,,,,,,,,,,,,,,,,
Go-To Vanilla Cupcakes,12 cupcakes (or about 48 mini cupcakes),"[{'main': ['1 1/2 cups all purpose flour', '1 1/2 teaspoons baking powder', '1/4 teaspoon fine salt', '2 large eggs at room temperature', '2/3 cup sugar', '1 1/2 sticks unsalted butter melted', '2 teaspoons pure vanilla extract', '1/2 cup milk', 'Your favorite frosting for topping']}]","['Preheat the oven to 350 degrees F and position a rack in the middle of the oven.', 'Line one 12 cup standard muffin tin or two 24 cup mini muffin tins with cupcake liners.', 'Whisk the flour baking powder and salt together in a medium bowl.', 'In another medium bowl beat the eggs and sugar with an electric mixer until light and foamy about 2 minutes.', 'While beating gradually pour in the melted butter and then the vanilla.', 'While mixing slowly add half of the flour mixture.', 'Then add all the milk followed by the remaining flour mixture take care not to overmix the batter.', 'Divide the batter evenly in the prepared muffin tin.', 'Bake until a cake tester inserted into the center of the cupcakes comes out clean rotating the tin about halfway through baking time 18 to 20 minutes for standard cupcakes or 10 to 12 minutes for minis.', 'Cool the cupcakes in the tin on a rack for 10 minutes then remove from the tin and cool on the rack completely.', 'Frost and decorate as desired.']",https://www.foodnetwork.com/recipes/food-network-kitchen/go-to-vanilla-cupcakes-3338835,"['Baking', 'Dessert', 'Cupcake']",,,,,,,,,,,,,,,,,,
Vanilla Cupcakes,12 cupcakes,"[{'frosting': ['4 large egg whites', '3/4 cup sugar', 'Pinch of salt', '2 sticks unsalted butter cut into pieces softened']}, {'main': ['Frosting recipe follows for topping', '2/3 cup whole milk at room temperature', '2 teaspoons vanilla extract', '2 large eggs at room temperature', '1 cup sugar', '1 stick unsalted butter softened', '1/4 teaspoon salt', '1 1/4 teaspoons baking powder', '1 1/2 cups all purpose flour']}]","['Preheat the oven to 350 degrees F. Line a 12 cup muffin pan with paper liners.', 'Whisk the flour baking powder and salt in a bowl.', 'Beat the butter and sugar in a stand mixer fitted with the paddle attachment on medium high speed until fluffy about 4 minutes.', 'Beat in the eggs one at a time scraping down the bowl as needed.', 'Beat in the vanilla.', 'Reduce the mixer speed to medium low beat in half of the flour mixture then all of the milk then the remaining flour mixture until just combined.', 'Divide the batter among the muffin cups filling each three quarters full.', 'Bake until a toothpick inserted into the center of a cupcake comes out clean 18 to 20 minutes rotating the pan halfway through.', 'Transfer the pan to a rack and let cool 5 minutes then remove the cupcakes to the rack to cool completely.', 'Top with Frosting.', 'Whisk the egg whites sugar and salt in a heatproof bowl set over a saucepan of simmering water until the mixture is warm and the sugar dissolves.', 'Remove the bowl from the pan let cool slightly.', 'Beat the egg white mixture in a stand mixer fitted with the whisk attachment on medium high speed until stiff peaks form 12 to 15 minutes.', 'Beat in the butter a few pieces at a time then continue beating until smooth.']",https://www.foodnetwork.com/recipes/food-network-kitchen/vanilla-cupcakes-recipe2-2042539,"['Easy Baking', 'Cupcake']",,,,,,,,,,,,,,,,,,
Magnolia's Vanilla Cupcake,24 cupcakes,"[{'main': ['1 1/2 cups self rising flour', '1 1/4 cups all purpose flour', '1 cup unsalted butter softened', '2 cups sugar', '4 large eggs at room temperature', '1 cup milk', '1 teaspoon vanilla extract']}, {'frosting': ['Vanilla Buttercream recipe follows']}, {'frosting': ['1 cup unsalted butter softened', '6 to 8 cups confectioners sugar', '1/2 cup milk', '2 teaspoons vanilla extract']}]","['Preheat oven to 350 degrees F. Line 2 muffin tins with cupcake papers.', 'In a small bowl combine the flours.', 'Set aside.', 'In a large bowl on the medium speed of an electric mixer cream the butter until smooth.', 'Add the sugar gradually and beat until fluffy about 3 minutes.', 'Add the eggs 1 at a time beating well after each addition.', 'Add the dry ingredients in 3 parts alternating with the milk and vanilla.', 'With each addition beat until the ingredients are incorporated but do not over beat.', 'Using a rubber spatula scrape down the batter in the bowl to make sure the ingredients are well blended.', 'Carefully spoon the batter into the cupcake liners filling them about 3/4 full.', 'Bake for 20 to 25 minutes or until a cake tester inserted into the center of the cupcake comes out clean.', 'Cool the cupcakes in tins for 15 minutes.', 'Remove from the tins and cool completely on a wire rack before icing.', 'Place the butter in a large mixing bowl.', 'Add 4 cups of the sugar and then the milk and vanilla.', 'On the medium speed of an electric mixer beat until smooth and creamy about 3 to 5 minutes.', 'Gradually add the remaining sugar 1 cup at a time beating well after each addition until the icing is thick enough to be of good spreading consistency.', 'You may not need to add all of the sugar.', 'If desired add a few drops of food coloring and mix thoroughly.', 'Icing can be stored in an airtight container for up to 3 days.']",https://www.foodnetwork.com/recipes/magnolias-vanilla-cupcake-recipe-1953849,"['Easy Dessert Recipes', 'Dessert', 'Easy Baking', 'Baking', 'Mixer Recipes', 'American', 'Cupcake', 'Dairy Recipes', 'Egg Recipes', 'Recipes for a Crowd']",,,,,,,,,,,,,,,,,,
Lemon Lime Cupcakes,48 mini cupcakes,"[{'main': ['1 3/4 cups all purpose flour', '1/4 teaspoon baking powder', '1/4 teaspoon baking soda', '1/4 teaspoon kosher salt', '1 1/4 cups granulated sugar', '1 1/2 sticks salted butter at room temperature', '3 large eggs at room temperature', '1/3 cup whole milk', '2 tablespoons lemon juice', '2 tablespoons lime juice', '1 teaspoon lemon extract']}, {'frosting': ['2 1/2 cups powdered sugar', '1/4 cup whole milk', '2 tablespoons lemon zest', '2 tablespoons lime zest']}]","['For the batter Preheat the oven to 350 degrees F line a mini cupcake pan with paper liners .', 'Sift together the flour baking powder baking soda and salt in a medium bowl and set aside.', 'In the bowl of an electric stand mixer fitted with a paddle attachment cream together the granulated sugar and butter until light and fluffy 1 to 2 minutes.', 'Add in the eggs one at a time letting them incorporate fully between additions.', 'With the mixer on low add in half of the flour mixture followed by the milk and then the remaining flour mixture let each incorporate fully before the next addition.', 'Then mix in the lemon and lime juice and lemon extract.', 'Using a scoop fill each mini cupcake cup three quarters full with batter.', 'Bake until golden and cooked through 12 to 14 minutes.', 'Remove the cupcakes from the pan and allow them to cool completely.', 'For the glaze While the cupcakes are cooling whisk together the powdered sugar milk and lemon and lime zest in a bowl until smooth.', 'Once the cupcakes have cooled dip the top of each cupcake in the glaze allowing the excess to drip back into the bowl.', 'Chill the cupcakes in the fridge for at least 30 minutes.', 'Serve cold and enjoy.']",https://www.foodnetwork.com/recipes/ree-drummond/lemon-lime-cupcakes-5312685,"['Cupcake', 'Dessert']",,,,,,,,,,,,,,,,,,
Stars and Stripes Cupcakes,12 cupcakes,"[{'main': ['1 1/2 cups all purpose flour', '1 1/2 teaspoons baking powder', '1/4 teaspoon salt', '3/4 cup granulated sugar', '2 large eggs', '1 1/2 sticks unsalted butter melted', '1 tablespoon pure vanilla extract', '1/3 cup milk']}, {'frosting': ['2 sticks unsalted butter at room temperature', '3 cups confectioners sugar', '1 teaspoon pure vanilla extract', '1/2 teaspoon raspberry extract', '2 to 3 tablespoons milk', 'Red gel food coloring', '1/2 cup blue candy melts']}]","['Preheat the oven to 350 degrees F. Line a 12 cup muffin pan with paper liners set aside.', 'Make the cupcakes Whisk the flour baking powder and salt in a medium bowl.', 'Combine the granulated sugar and eggs in a large bowl beat with a mixer on medium high speed until pale and thick about 2 minutes.', 'Beat in the melted butter and vanilla until smooth.', 'Reduce the mixer to low speed beat in half of the flour mixture the milk then the remaining flour mixture until smooth.', 'Divide the batter among the prepared muffin cups and bake until a toothpick comes out clean 20 to 25 minutes.', 'Let cool 10 minutes in the pan then remove to a rack to cool completely.', 'Make the frosting Beat the butter in a large bowl with a mixer on medium speed until creamy about 1 minute.', 'Gradually beat in the confectioners sugar until smooth then beat in the vanilla and raspberry extracts.', 'Beat in the milk 1 tablespoon at a time until creamy.', 'Transfer half of the frosting to a separate bowl and tint red with food coloring.', 'Put the white and red frosting in separate zip top bags snip a corner of each.', 'Snip a corner of a larger zip top bag put both frosting bags in the larger bag and twist so that they pipe out of the snipped corner.', 'Pipe the frosting onto the cupcakes.', 'Make the candy stars Line a baking sheet with parchment paper.', 'Microwave the candy melts in a microwave safe bowl in 45 second intervals stirring until smooth.', 'Transfer to a small zip top bag and snip a small corner.', 'Pipe twelve 2 to 3 inch stars onto the parchment piping double or triple lines for stability.', 'Refrigerate until set about 10 minutes.', 'Carefully lift the stars from the parchment and insert into the frosting on each cupcake.']",https://www.foodnetwork.com/recipes/food-network-kitchen/stars-and-stripes-cupcakes-3363879,"['Cupcake', '4th of July']",,,,,,,,,,,,,,,,,,
Super S'Mores Cupcakes,24 cupcakes,"[{'crust': ['1 1/2 cups graham cracker crumbs', '4 tablespoons butter melted', '1/4 cup sugar']}, {'main': ['2 cups all purpose flour', '2 cups sugar', '1 cup unsweetened cocoa powder', '2 teaspoons baking soda', '1 teaspoon baking powder', '1 teaspoon kosher salt', '1 cup buttermilk at room temperature', '1 cup warm water', '1/2 cup vegetable oil', '2 large eggs', '1 teaspoon vanilla extract']}, {'frosting': ['8 large egg whites at room temperature', '2 cups sugar', '1/4 teaspoon cream of tartar', '2 teaspoons vanilla extract']}, {'topping': ['3 graham cracker sheets broken into 24 pieces', 'One 4 ounce bar semisweet chocolate broken into 24 shards']}]","['For the graham cracker crust Preheat the oven to 350 degrees F. Line two standard 12 cup muffin tins with paper liners.', 'In a small bowl stir together the graham cracker crumbs butter and sugar until well combined.', 'Press a heaping tablespoon of the crust mixture into the bottom of each muffin cup and bake until golden and just set 5 to 7 minutes.', 'Set aside to cool.', 'For the cupcakes In a large bowl whisk together the flour sugar cocoa powder baking soda baking powder and salt.', 'Add the buttermilk water and oil and whisk to combine.', 'Add the eggs and vanilla extract and whisk until smooth.', 'Divide the batter among the muffin cups filling them about two thirds full.', 'Bake until a toothpick inserted into the center comes out with a few crumbs attached 12 to 15 minutes.', 'Let cool in the tins on a wire rack for about 5 minutes then remove the cupcakes from the tins and allow to cool completely.', 'For the marshmallow frosting Combine the egg whites sugar and cream of tartar in a heatproof mixing bowl set over a pan of simmering water.', 'Whisk constantly until the sugar has dissolved and the egg whites are warm and smooth to the touch 3 to 5 minutes.', 'Transfer to the bowl of a stand mixer fitted with the whisk attachment and beat on low speed gradually increasing to medium and then finally up to high.', 'Beat until stiff glossy peaks form 7 to 10 minutes.', 'Turn the mixer to low and whisk in the vanilla.', 'Spread the frosting on the cupcakes.', 'With a handheld pastry torch lightly brown the frosting.', 'Decorate each cupcake with a graham cracker piece and a shard of chocolate.']",https://www.foodnetwork.com/recipes/ree-drummond/super-smores-cupcakes-3517415,"['Chocolate Cupcake', 'Cupcake', 'Baking', 'Dessert', ""S'mores""]",,,,,,,,,,,,,,,,,,
German Chocolate Cupcakes,14 to 15 cupcakes,"[{'frosting': ['12 tablespoons unsalted butter', '1 can evaporated milk', '1 1/4 cups light brown sugar lightly packed', '4 extra large egg yolks']}, {'main': ['1/2 teaspoon kosher salt', '1 1/2 teaspoons baking soda', '1 cup unsweetened cocoa powder such as Pernigotti', '1 3/4 cups all purpose flour', '2 tablespoons freshly brewed coffee', '1/2 cup sour cream at room temperature', '1 cup buttermilk shaken at room temperature', '2 teaspoons pure vanilla extract', '2 extra large eggs at room temperature', '12 tablespoons unsalted butter at room temperature', '2/3 cup light brown sugar lightly packed', '2/3 cup granulated sugar', '1/4 teaspoon kosher salt', '1 cup chopped pecans', '1 cup blanched sliced almonds toasted', '2 cups sweetened flaked coconut', '1/2 teaspoon pure almond extract', '1 teaspoon pure vanilla extract']}]","['Preheat the oven to 350 degrees.', 'Line cupcake pans with 14 or 15 paper liners.', 'In the bowl of an electric mixer fitted with the paddle attachment cream the butter granulated sugar and brown sugar on medium high speed for 5 minutes until light and fluffy.', 'Scrape down the bowl.', 'Lower the speed to medium add the eggs one at a time then add the vanilla and mix well.', 'In a separate bowl whisk together the buttermilk sour cream and coffee.', 'In a third bowl sift together the flour cocoa powder baking soda and salt.', 'With the mixer on low add the buttermilk and flour mixtures alternately in thirds beginning with the buttermilk and ending with the flour.', 'Don t overmix Fold the batter a few times with a rubber spatula to be sure it s mixed.', 'Scoop the batter into the cupcake liners.', 'Bake in the center of the oven for 20 to 25 minutes until a toothpick comes out clean.', 'Cool for 10 minutes remove from the pans and allow to cool completely before frosting.', 'Coconut Frosting Melt the butter in a large saucepan over medium heat.', 'Whisk in the evaporated milk brown sugar and egg yolks and bring to a simmer over medium heat.', 'Simmer stirring constantly with a wooden spoon for about 15 minutes until slightly thickened.', 'If the mixture looks a bit curdled beat it vigorously with a whisk.', 'Off the heat stir in the vanilla extract almond extract coconut almonds pecans and salt.', 'Allow to cool for about an hour.', 'Frost the cupcakes with a knife or small metal spatula.']",https://www.foodnetwork.com/recipes/ina-garten/german-chocolate-cupcakes-recipe-3381340,"['Chocolate Cupcake', 'Cupcake', 'Baking', 'Dessert', 'Coconut Recipes', 'Fruit', 'Nut Recipes']",,,,,,,,,,,,,,,,,,
Red Velvet Cupcakes,15 cupcakes,"[{'frosting': ['8 ounces cream cheese at room temperature', '12 tablespoons unsalted butter at room temperature', '1/2 teaspoon pure vanilla extract', '3 1/2 cups sifted confectioners sugar']}, {'main': ['Red Velvet Frosting recipe follows', '2 extra large eggs at room temperature', '1 1/2 cups sugar', '1/4 pound unsalted butter at room temperature', '1 teaspoon pure vanilla extract', '1 teaspoon white vinegar', '1 tablespoon liquid red food coloring', '1 cup buttermilk shaken', '1 teaspoon kosher salt', '1 teaspoon baking soda', '1 teaspoon baking powder', '1/4 cup unsweetened cocoa powder such as Pernigotti', '2 1/2 cups all purpose flour']}]","['Preheat the oven to 350 degrees F. Line muffin tins with paper liners.', 'In a small bowl sift together the flour cocoa powder baking powder baking soda and salt.', 'In a large measuring cup combine the buttermilk food coloring vinegar and vanilla.', 'In the bowl of an electric mixer fitted with the paddle attachment beat the butter and sugar on medium speed for 1 minute until light.', 'Add the eggs one at a time and beat until combined.', 'With the mixer on low speed add the dry ingredients and the wet ingredients alternately in 3 parts beginning and ending with the dry ingredients and mix until combined.', 'Stir with a rubber spatula to be sure the batter is mixed.', 'Scoop the batter into the muffin cups with a 2 1/4 inch ice cream scoop or large spoon.', 'Bake for 25 to 30 minutes until a toothpick inserted in the centers comes out clean.', 'Cool completely in the pans and frost the cupcakes with Red Velvet Frosting.', 'Place the cream cheese butter and vanilla in the bowl of an electric mixer fitted with the paddle attachment and mix on medium speed just until combined.', 'Don t whip Add the sugar and mix until smooth.']",https://www.foodnetwork.com/recipes/ina-garten/red-velvet-cupcakes-recipe-1924412,"['Easy Dessert Recipes', 'Dessert', 'Easy Baking', 'Chocolate Cupcake', 'Cupcake', 'Baking', 'Cream Cheese Frosting', 'Cream Cheese Recipes']",,,,,,,,,,,,,,,,,,
Rainbow Cupcakes,12 cupcakes,"[{'main': ['1 3/4 cups cake flour', '1 teaspoon baking powder', '1/4 teaspoon baking soda', '1/2 teaspoon salt', '2/3 cup whole milk at room temperature', 'Finely grated zest of 1 lemon plus juice of 1/2 lemon', '1 teaspoon pure vanilla extract', '1 1/2 sticks unsalted butter at room temperature', '1 cup sugar', '3 large egg whites at room temperature', 'Red orange yellow green blue and purple gel food coloring']}, {'frosting': ['2/3 cup sugar', '2 large egg whites at room temperature', '1/4 cup cold water', '1 teaspoon pure vanilla extract', '1/2 teaspoon cream of tartar', 'Pinch of salt']}]","['Make the cupcakes Preheat the oven to 325 degrees F. Line a 12 cup muffin pan with white paper liners.', 'Whisk the flour baking powder baking soda and salt in a medium bowl set aside.', 'Stir together the milk lemon juice and vanilla in a small bowl set aside .', 'Beat the butter 3/4 cup sugar and the lemon zest in a large bowl with a mixer on medium high speed until light and fluffy about 5 minutes.', 'Reduce the mixer speed to low.', 'Beat in the flour mixture in three batches alternating with the milk mixture in two batches until combined.', 'Increase the mixer speed to medium and beat briefly until smooth.', 'Beat the egg whites in a large bowl with a mixer on high speed until foamy.', 'Gradually beat in the remaining 1/4 cup sugar continue beating until stiff glossy peaks form about 3 minutes.', 'Using a rubber spatula fold the beaten egg whites into the batter in two batches.', 'Divide the batter evenly among 6 small bowls tint each with 1 to 3 drops gel food coloring stirring to distribute the color.', 'Divide the purple batter evenly among the prepared muffin cups and gently spread to cover the bottom layer the blue green yellow orange and red batters on top gently spreading each color but making sure not to swirl the colors together.', 'Bake until the tops of the cupcakes spring back when gently pressed about 20 minutes.', 'Let cool 5 minutes in the pan then transfer to a rack to cool completely.', 'Meanwhile make the frosting Whisk the sugar egg whites water vanilla cream of tartar and salt in a large metal bowl set over a saucepan of simmering water until combined .', 'With the bowl still over the simmering water beat the mixture with a hand mixer on medium high speed until stiff glossy peaks form 5 to 7 minutes.', 'Remove the bowl from the saucepan and let cool 5 minutes.', 'Transfer the frosting to a piping bag fitted with a large round tip.', 'Generously pipe onto the cupcakes.']",https://www.foodnetwork.com/recipes/food-network-kitchen/rainbow-cupcakes-3589733,"['Cupcake', 'Sugar', ""St. Patrick's Day""]",,,,,,,,,,,,,,,,,,
