Title,Yield,Ingredient,Steps,URL,Tags,,,,,,,,,,,,,,,
Almond cake,6,"[{'main': ['125g Butter ', '150g Billington s Unrefined Golden Caster sugar', '3 Egg ', '1 tsp Almond extract', '40g Self raising white flour', '75g Almonds ']}]","['Preheat the oven to 180 C .', 'Grease and line the base of a 15cm round cake tin.', 'Beat the butter and sugar until light and creamy.', 'Add the egg yolks one at a time and stir in with the almond extract.', 'Beat well.', 'Sieve in the self raising flour and ground almonds and mix gently.', 'Beat the egg whites in a clean grease free bowl until very stiff and then fold into the mixture.', 'Bake for 50 60 minutes or until a skewer inserted into the cake comes out clean.']",https://www.bakingmad.com/recipes/almond-cake,,,,,,,,,,,,,,,,
Carrot Cake Tray Bake,12,"[{'main': ['200g Carrots ', '175g Billington s light muscovado sugar', '200g Allinson s Self Raising White Flour', '1 tsp Bicarbonate of soda', '2 tsp Cinnamon', '2 Eggs', '150ml Sunflower oil']}, {'frosting': ['50g Softened butter', '75g Silver Spoon Icing Sugar', '200g Soft cheese', '12 Carrot decorations']}]","['Preheat your oven to 180 C/160 C fan/gas 4.', 'Grate the carrots into a large bowl.', 'Sift the sugar flour bicarb and cinnamon on top of the carrot and mix.', 'Whisk together the eggs and oil and add to the bowl.', 'Line your baking tin with greased proof paper and then pour in the batter.', 'Bake in the oven for 30 minutes or until the cake is cooked.', 'Wait for the cake to cool thoroughly before icing it.', 'To make the icing mix the butter and icing sugar together then stir in the soft cheese until smooth.', 'Be Careful not to overmix once you ve added the cream cheese Otherwise it ll go runny.', 'When the cake is cool spread the top with the icing and carrot toppers and serve.']",https://www.bakingmad.com/recipes/carrot-cake-tray-bake,,,,,,,,,,,,,,,,
Madeira cake,1,"[{'main': ['150g Butter ', '150g Billington s Unrefined Golden Caster sugar', '3 Egg ', '0.5 tsp Nielsen Massey Vanilla Extract', '175g Self raising white flour', '1 tsp Baking powder', '30ml Milk ']}]","['Preheat the oven to 200 C .', 'Grease a 15cm/6in square cake tin.', 'In a large bowl beat the butter and sugar until light and fluffy.', 'Gradually add in the egg .', 'Sift the flour and baking powder together and fold into the mix to make a soft mixture add in the vanilla extract and gradually add the milk.', 'Spoon the mixture into the tin and bake for 30 35 minutes or until springy to the touch.', 'Leave to cool on a wire rack.']",https://www.bakingmad.com/recipes/madeira-cake,,,,,,,,,,,,,,,,
Butterfly Cakes,12,"[{'main': ['250g Butter ', '250g Billington s Unrefined Golden Caster sugar', '4 Egg ', '250g Self raising white flour', '185ml Milk ']}, {'frosting': ['140g Butter ', '280g Icing sugar', '2 tbsp Milk ']}]","['For the cakes preheat the oven to 180 C fan  Line a 12 hole muffin tray with paper cases.', 'Place the butter and sugar in a bowl and beat until pale and creamy.', 'Add the eggs one at a time beating until well combined.', 'Fold the flour into the mixture and add the milk.', 'Divide the mixture between the cases and bake for 20 25 minutes.', 'Remove from the oven and cool on a wire rack.', 'For the butter icing beat the butter in a large bowl until soft.', 'Add half of the icing sugar and beat until smooth.', 'Add the remaining icing sugar and one tablespoon of the milk and beat the mixture until creamy and smooth.', 'Beat in the milk if necessary to loosen the mixture.', 'Using a small pointed knife cut a circle about 2.5cm width out of the cake leaving a cavity in the centre.', 'Cut the round in half and set aside.', 'Now fill the centre of each cake with the buttercream and return the two pieces of cake to sit on top like butterfly wings.', 'Dust with icing sugar to serve.']",https://www.bakingmad.com/recipes/butterfly-cakes,,,,,,,,,,,,,,,,
Rock Cakes,12,"[{'main': ['225g Allinson s plain white flour', '1pinch Salt', '2 tsp Baking powder', '75g Butter ', '75g Billington s Unrefined Golden Caster Sugar', '75g Currants', '0.25 tsp Nutmeg ', '0.25g Mixed spice ', '1 Egg ', '2.5 tbsp Milk ']}]","['Preheat the oven to 190 C .', 'Grease a baking tray.', 'Sift the flour salt and baking powder into a mixing bowl and rub in the butter until the mixture resembles breadcrumbs.', 'Stir in the sugar fruit and spices.', 'Beat in the egg and just enough milk to make a stiff mixture.', 'Drop tablespoons of the mixture on the baking tray and rough up each with a fork.', 'Bake for 15 to 20 minutes until cooked through.', 'Cool on a wire rack.']",https://www.bakingmad.com/recipes/rock-cakes,,,,,,,,,,,,,,,,
Chocolate Cake Pops,20,"[{'sponge': ['100g Allinson s Plain White Flour', '20g Cocoa powder', '140g Billington s Unrefined Golden Caster Sugar', '40g Butter ', '1 pinch Salt', '1 1/2 tsp Baking powder', '120ml Milk ', '1 Egg ', '1/4 tsp Nielsen Massey Vanilla Extract']}, {'frosting': ['125g Butter ', '1 tsp Nielsen Massey Vanilla Extract', '300g Silver Spoon Icing Sugar', '2 tsp Milk ']}, {'chocolate_covering': ['200g Dark chocolate', '1 tube Sprinkle decorations']}]","['Preheat the oven to 170 C  and line a muffin tin with 12 paper cases.', 'To make the sponge put the flour cocoa powder sugar baking powder salt and butter in a freestanding mixer with the paddle attachment or in a bowl and mix with an electric mixer until you get a sandy consistency.', 'Whisk the milk egg and vanilla extract in a jug then slowly add to the flour mixture and beat until smooth and well mixed.', 'Spoon the mixture into the paper cases and bake in the oven for 20 25 minutes until the sponge bounces back when touched.', 'Cool on a wire rack leave in the fridge overnight to stale.', 'To make the frosting put the butter in a large bowl and cream using a hand held electric whisk then add the icing sugar a bit at a time mixing in between.', 'Add the milk and vanilla extract then whisk until light and fluffy.', 'Remove the cakes from the fridge and crumble into a large bowl until it resembles fine breadcrumbs then mix in some of the frosting until the mixture can be formed into small balls.', 'Make balls of the mixture by rolling between your hands and place on a baking tray.', 'Place these in the fridge to set for about 30 minutes.', 'Next melt your dark chocolate and white chocolate in separate bowls.', 'Dip a lollipop stick into the melted dark chocolate then place into the cake ball.', 'Once you have put sticks in every ball dip each one into the chocolate to entirely cover the ball.', 'Then either leave plain or add the sprinkle decorations of your choice.', 'Leave to set.']",https://www.bakingmad.com/recipes/chocolate-cake-pops,,,,,,,,,,,,,,,,
Unicorn Cake by Juliet Sear,10,"[{'main': ['300g Butter ', '300g Billington s Unrefined Golden Caster Sugar', '2 tsp Nielsen Massey Vanilla Bean Paste', '6 Eggs ', '300g Self Raising Flour', '1 tsp Baking powder']}, {'frosting': ['2 tsp Nielsen Massey Vanilla Bean Paste', '250g Butter ', '500g Silver Spoon Icing Sugar']}, {'topping': ['For dusting Silver Spoon Icing Sugar', '1.25kg White sugar paste', '40g Black sugar paste', '60g Pastel pink sugar paste', '500g Basic vanilla bean buttercream', '250g Yellow sugar paste']}]","['Preheat the oven to 180C .', 'Grease 2 20 cm  round cake tins or a 12 hole cupcake tray.', 'Place the butter sugar and vanilla or other flavourings into a mixing bowl and combine.', 'If using an electric mixer turn the speed to high  and beat until the mixture is very pale soft and fluffy and the granules of sugar have disappeared.', 'Add the beaten eggs about one quarter at a time beating them in slowly each time.', 'Add the flour gradually one quarter at a time mixing gently on a slow speed until it has mostly been incorporated.', 'Then add the baking powder.', 'Fold with a metal spoon if doing this by hand.', 'Take care not to mix or beat vigorously or your sponge can turn out a bit tough.', 'Scrape the mixture into cupcake cases or lined tins as required.', 'For cupcakes bake for around 12 15 minutes checking every few minutes.', 'For a larger cake begin checking after 20 minutes.', 'Remember all ovens vary so if in doubt use an oven thermometer.', 'The cakes should be a light golden brown springy to the touch.', 'A sharp knife or metal skewer should come out clean and free of mixture when inserted into the centre.', 'Leave to cool for a couple of minutes in the tins then turn out onto a cooling rack.', 'To make the icing in a large bowl add about one quarter of the icing sugar.', 'To make sure the sugar doesn t puff out in clouds and cover your kitchen mix slowly at first.', 'You can also place a damp tea towel over the bowl.', 'Once the icing sugar is incorporated beat at a high speed for about 1 minute until the mix is really creamy and pale.', 'It will take you a few more minutes by hand.', 'Continue adding the sugar one quarter at a time taking care to beat it in well after each addition.', 'Beat the buttercream at high speed for 1 2 minutes until fluffy.', 'Layering and crumb coating the cake Stick the bottom layer onto a turntable if you have one.', 'Using a little buttercream stick the bottom cake layer onto the smaller cake drum and make sure it is centred.', 'Spread a layer of buttercream over the first cake layer then place the second cake layer on top.', 'Repeat this process with the next 2 layers.', 'Using a palette knife generously spread buttercream all around the sides of the cake.', 'You can press on the top of the cake to hold it still.', 'Fil in any gaps and smooth over.', 'Once the sides are covered spread a layer of the buttercream over the top.', 'Using the palette knife sweep all around the cake with a firm pressure.', 'Keep the knife or scraper straight to smooth off the excess and make the surface as flat as you can.', 'With a back and forth motion smooth over the top to neaten.', 'Go around the edge again if you need to.', 'Remove any lumpy areas around the top edge wit ha small sharp knife.', 'Once you are happy with the cake put it in the fridge to chill for an hour before decorating.', 'Dust your work surface with icing sugar and roll out the white sugar paste to a circle large enough to cover the top and sides of the cake about 50 cm .', 'Pick up the sheet of icing using the pin lift up and drape over the cake.Smooth it down with your hands encouraging the icing to stick to the sides.', 'Lift it up if it starts to fold.', 'You can place any creases to the back or side and cover with the piped mane.', 'Once the icing is smoothed all over the cake trim around the base with a sharp knife.', 'Keep the off cuts to make the ears.', 'Place the cake onto the gold cake drum.', 'Using cake smoothers with firm pressure polish the top and the sides.', 'Wrap the white ribbon around the bottom of the cake sticking the ends together with royal icing.', 'Make sure the join is at the back.', 'Leave the cake overnight before adding the other details.', 'To make the large round eyes thinly roll out the black sugar paste and cut out circles with the 5 cm  round cutters.To make the pink nose roll out the pink sugar paste and cut into the nose shape.', 'Use the white royal icing to stick the nose and eyes onto the front of the cake.', 'Secure with royal icing.', 'With black edible pen make an eyelash flick on each eye and add the nose and mouth detail.', 'Make the horn take about 200 g  of the yellow sugar paste roll into a long sausage and flatten it a little with your palm.', 'Stick a small blob of the sugar paste on the bottom of the cone to make a secure base then pipe a little soft peak royal icing over the ice cream cone to make it sticky.Now wind the fondant sausage around the cone from the base to the tip making a point at the top.', 'Reserve any excess sugar paste for the ears.', 'Spray with gold shimmer spray and sprinkle with a little gold glitter.', 'Stick on the top of the cake using royal icing to secure.']",https://www.bakingmad.com/recipes/unicorn-cake,,,,,,,,,,,,,,,,
Marble cake,8,"[{'main': ['125g Butter ', '125g Billington s Unrefined Golden Caster sugar', '2 Egg ', '115g Self raising white flour', '2 tbsp Cocoa powder', '2 tbsp Milk']}, {'vanilla_sponge': ['125g Butter ', '125g Billington s Unrefined Golden Caster sugar', '2 Egg ', '125g Self raising white flour', '2 tbsp Milk', '1 tsp Nielsen Massey Vanilla Extract']}]","['Preheat the oven to 180 C  and grease a a large loaf tin .', 'Make the chocolate sponge by beating the butter and caster sugar until light and creamy.', 'Add one egg and stir until smooth do the same with the second egg.', 'Sieve the flour and the cocoa powder into the mixture add the milk and beat together until smooth.', 'Make the vanilla mixture in a separate bowl using the same method but substituting the cocoa powder for the vanilla extract.', 'Add some of the chocolate mixture to the tin followed by the vanilla mixture and then the remaining chocolate mixture and the remaining vanilla mixture.', 'Mix the two mixtures together slightly just so that the mixture is swirled.', 'Bake in the oven for 55 minutes.']",https://www.bakingmad.com/recipes/marble-cake,,,,,,,,,,,,,,,,
Simnel Cake,10,"[{'main': ['175g Butter ', '175g Billington s Unrefined Golden Caster sugar', '3 Egg ', '250g Plain wholemeal flour', '1 tsp Baking powder', '2 tsp Cinnamon', '250g Sultanas', '125g Marzipan ', '125g Dried apricots ', '125g Glac cherries', '125g Walnuts ', '2 Orange ']}, {'topping': ['2 tbsp Apricot jam ', '500g Marzipan', ' Icing sugar ']}]","['Pre heat the oven to 160 c .', 'Grease and line a 20cm/8in round deep cake tin.', 'Place the butter and sugar in a large mixing bowl and beat well with a wooden spoon until light and creamy.', 'Gradually beat the eggs into the butter and sugar adding a little flour if the mixture curdles.', 'Add the remaining cake ingredients and stir well until evenly mixed.', 'Place in the cake tin and smooth the surface.', 'Bake for 1 hour then reduce the oven temperature to 150 c (fan 130 c gas mark 2 for a further 75 to 90 minutes until golden and firm to the touch.', 'Allow to cool for 10 minutes then turn out and cool completely.', 'Spread the top of the cake with apricot jam.', 'Reserve 150g/6oz of marzipan.', 'Dust the work surface with icing sugar and roll out the remaining marzipan to a circle large enough to cover the cake.', 'Place on top of the cake and smooth down well.', 'Roll mini balls with the remaining marzipan and place on top of the cake in a pattern.']",https://www.bakingmad.com/recipes/simnel-cake,,,,,,,,,,,,,,,,
Cherry cake,10,"[{'main': ['250g Self raising white flour', '140g Butter ', '140g Almonds ', '140g Billington s Unrefined Golden Caster sugar', '2 Egg ', '125ml Milk ', '300g Cherries ', '25g Almonds ']}]","['Preheat the oven to 180 C .', 'Grease and base line a 20cm  round deep cake tin.', 'Put the flour into a mixing bowl and rub in the butter until crumbly.', 'Stir in the ground almonds and sugar then add the eggs milk and cherries.', 'Mix until just combined.', 'Spoon into the prepared tin and level the top of the cake.', 'Scatter the flaked almonds over the top and bake for about 1 hour 10 minutes until the cake is golden and firm to the touch.', 'Leave in the tin for 10 minutes then turn out onto a wire rack to cool.', 'The cake can be frozen well wrapped for up to 3 months.']",https://www.bakingmad.com/recipes/cherry-cake,,,,,,,,,,,,,,,,
